,Luz (lux)
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,43
13,1089
14,5025
15,5561
16,10554
17,12493
18,13824
19,21919
20,31059
21,29693
22,25946
23,32124
24,49804
25,26536
26,46555
27,26239
28,49804
29,15999
30,15125
31,10795
32,7618
33,2138
34,657
35,178
36,6
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,46
61,804
62,2618
63,5025
64,8917
65,17309
66,26836
67,16180
68,16735
69,12079
70,25369
71,28387
72,28387
73,29361
74,14623
75,21919
76,24805
77,39775
78,15644
79,11678
80,6364
81,2738
82,841
83,255
84,9
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,46
109,2288
110,12216
111,10917
112,3278
113,13669
114,23714
115,27139
116,24805
117,37180
118,47614
119,26239
120,33602
121,33226
122,40679
123,27756
124,52095
125,31059
126,28708
127,19588
128,15999
129,11040
130,6293
131,2237
132,103
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,43
157,2313
158,5140
159,16924
160,17505
161,6656
162,19810
163,13824
164,26836
165,30368
166,30368
167,13068
168,22167
169,44010
170,55731
171,51513
172,51513
173,39775
174,41605
175,22927
176,20955
177,8817
178,5816
179,2091
180,102
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,32
205,2067
206,8335
207,12777
208,22167
209,15469
210,11165
211,15820
212,17703
213,24253
214,32855
215,24527
216,15820
217,31410
218,18517
219,22927
220,30029
221,52684
222,18310
223,31410
224,27446
225,16180
226,12079
227,4151
228,124
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,98
253,3353
254,5376
255,11810
256,17309
257,23714
258,19369
259,36354
260,24527
261,29693
262,33602
263,32855
264,38891
265,51513
266,54491
267,29693
268,43032
269,53280
270,47082
271,31410
272,13669
273,6293
274,5257
275,2393
276,85
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,118
301,2475
302,9978
303,9432
304,14138
305,27446
306,22167
307,23449
308,27756
309,18727
310,31059
311,41605
312,26536
313,30368
314,24805
315,43032
316,29361
317,29033
318,1911
319,20489
320,14138
321,8621
322,4491
323,3169
324,567
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,12
349,1999
350,5498
351,9222
352,18517
353,19810
354,23186
355,20260
356,26836
357,31765
358,33982
359,28387
360,24805
361,30368
362,28387
363,47614
364,19369
365,15820
366,22417
367,20260
368,14138
369,12635
370,8718
371,3752
372,621
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,7
397,1018
398,3668
399,7041
400,15296
401,16924
402,17903
403,27756
404,26536
405,39330
406,20489
407,48697
408,48697
409,51513
410,31059
411,25085
412,27139
413,31059
414,23714
415,19810
416,10554
417,14623
418,5316
419,2447
420,244
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,5
445,438
446,327
447,1152
448,4969
449,8150
450,5025
451,14623
452,31765
453,23449
454,50367
455,52095
456,33226
457,17703
458,20489
459,53280
460,30029
461,35148
462,28708
463,14298
464,15469
465,9978
466,5882
467,2366
468,191
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,5
493,735
494,4105
495,10090
496,22417
497,19153
498,15644
499,18106
500,30368
501,8335
502,25946
503,46555
504,47082
505,46035
506,21919
507,42551
508,42075
509,35545
510,27756
511,22927
512,13516
513,8621
514,3587
515,1077
516,119
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,2
541,614
542,2738
543,6436
544,11419
545,11040
546,10917
547,5082
548,28708
549,28387
550,26536
551,20721
552,17116
553,13068
554,12354
555,17703
556,28708
557,24805
558,23449
559,21674
560,12635
561,7449
562,6656
563,3969
564,474
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,9
589,1178
590,5816
591,6656
592,13824
593,26239
594,15469
595,29361
596,36765
597,37601
598,29361
599,27756
600,29693
601,39330
602,29361
603,32488
604,32488
605,29361
606,29033
607,26536
608,20260
609,14138
610,8242
611,4246
612,519
613,2
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,7
637,695
638,2447
639,6153
640,11040
641,12635
642,21674
643,21432
644,28708
645,46555
646,31765
647,22671
648,24805
649,25085
650,25946
651,53882
652,44010
653,36354
654,28708
655,19588
656,16180
657,12777
658,9119
659,4914
660,1018
661,2
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,6
685,703
686,2864
687,8524
688,11944
689,22671
690,32488
691,37180
692,35947
693,38026
694,47614
695,48697
696,42075
697,49804
698,30712
699,52684
700,43518
701,37180
702,28070
703,18938
704,15999
705,12354
706,8917
707,4751
708,1065
709,3
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
