,Temperatura (C)
0,25.06
1,24.81
2,24.62
3,24.56
4,24.0
5,24.06
6,23.31
7,23.43
8,23.56
9,23.56
10,23.56
11,23.31
12,23.25
13,23.37
14,23.81
15,24.12
16,24.43
17,25.93
18,26.68
19,27.5
20,29.81
21,29.06
22,29.25
23,31.0
24,32.0
25,30.93
26,31.37
27,30.0
28,31.31
29,28.31
30,27.81
31,27.25
32,27.0
33,26.56
34,26.37
35,26.25
36,26.06
37,24.81
38,23.06
39,23.18
40,23.56
41,23.75
42,23.93
43,24.06
44,23.87
45,23.43
46,23.18
47,23.18
48,23.25
49,23.06
50,23.0
51,22.93
52,23.0
53,22.93
54,22.87
55,22.93
56,23.0
57,23.06
58,23.0
59,23.0
60,23.18
61,23.31
62,23.5
63,23.56
64,23.43
65,24.68
66,27.06
67,26.37
68,26.56
69,26.81
70,28.43
71,28.93
72,29.68
73,31.12
74,29.31
75,30.56
76,29.0
77,30.25
78,27.31
79,25.87
80,25.12
81,24.62
82,24.18
83,24.0
84,23.93
85,23.81
86,24.06
87,24.12
88,24.18
89,24.25
90,24.18
91,24.0
92,24.31
93,24.12
94,24.06
95,24.25
96,24.12
97,24.12
98,24.0
99,24.0
100,23.81
101,23.87
102,23.75
103,23.75
104,23.75
105,23.56
106,22.93
107,22.81
108,22.81
109,23.25
110,25.56
111,24.68
112,24.56
113,24.5
114,26.87
115,27.12
116,27.56
117,29.18
118,31.56
119,28.68
120,29.18
121,29.81
122,30.56
123,29.56
124,31.43
125,30.43
126,29.68
127,28.93
128,28.43
129,27.87
130,26.75
131,26.31
132,25.37
133,25.12
134,24.87
135,24.87
136,24.87
137,24.87
138,24.62
139,24.62
140,24.68
141,24.62
142,24.56
143,24.62
144,24.5
145,24.06
146,23.75
147,23.5
148,23.5
149,23.5
150,23.43
151,23.31
152,23.43
153,23.62
154,23.56
155,23.5
156,23.62
157,23.75
158,23.93
159,25.56
160,25.93
161,24.81
162,26.0
163,25.62
164,27.31
165,24.68
166,27.06
167,26.12
168,25.93
169,28.25
170,30.68
171,30.25
172,31.5
173,29.25
174,30.06
175,29.5
176,30.31
177,28.18
178,27.68
179,26.5
180,25.87
181,25.31
182,25.18
183,25.31
184,25.12
185,24.93
186,24.62
187,24.62
188,24.5
189,24.43
190,24.43
191,24.25
192,24.12
193,23.87
194,23.56
195,23.75
196,23.62
197,23.37
198,23.12
199,23.06
200,23.18
201,23.25
202,23.43
203,23.31
204,23.25
205,23.37
206,24.18
207,26.43
208,28.37
209,26.5
210,25.75
211,27.12
212,26.93
213,28.43
214,30.62
215,29.0
216,27.18
217,29.31
218,29.68
219,28.81
220,30.12
221,33.56
222,32.06
223,33.87
224,34.0
225,31.06
226,32.43
227,27.75
228,25.87
229,25.56
230,24.87
231,24.43
232,24.06
233,23.68
234,23.56
235,23.31
236,23.12
237,22.81
238,22.68
239,22.37
240,22.62
241,22.81
242,22.93
243,22.93
244,22.93
245,22.93
246,23.0
247,23.0
248,23.06
249,23.0
250,23.0
251,22.93
252,22.68
253,23.06
254,24.0
255,27.0
256,27.56
257,29.87
258,28.37
259,30.12
260,28.68
261,30.18
262,30.75
263,30.68
264,32.43
265,32.43
266,32.81
267,31.87
268,33.68
269,35.0
270,34.25
271,32.81
272,30.5
273,28.93
274,28.12
275,26.75
276,25.93
277,26.0
278,25.06
279,24.37
280,24.25
281,23.06
282,23.06
283,21.81
284,22.12
285,22.18
286,22.31
287,22.43
288,22.5
289,22.43
290,22.56
291,22.5
292,22.75
293,22.81
294,22.87
295,22.75
296,22.87
297,22.81
298,22.68
299,22.62
300,22.5
301,22.75
302,23.68
303,24.31
304,25.56
305,26.93
306,27.87
307,28.25
308,29.62
309,28.37
310,29.56
311,30.37
312,29.87
313,30.68
314,30.37
315,31.31
316,30.43
317,30.81
318,31.0
319,31.87
320,30.68
321,29.25
322,28.31
323,27.75
324,26.56
325,25.56
326,25.68
327,25.68
328,25.43
329,25.25
330,24.62
331,24.12
332,24.06
333,23.87
334,23.5
335,23.43
336,23.37
337,23.25
338,23.25
339,23.25
340,23.12
341,23.12
342,23.06
343,23.06
344,22.93
345,22.93
346,22.93
347,22.93
348,22.87
349,22.93
350,23.43
351,24.18
352,25.06
353,26.68
354,27.5
355,27.43
356,28.87
357,30.18
358,31.37
359,30.0
360,31.12
361,31.31
362,32.31
363,31.81
364,31.06
365,30.18
366,32.06
367,32.5
368,30.56
369,30.12
370,30.18
371,28.62
372,26.75
373,26.06
374,25.37
375,25.37
376,24.93
377,25.31
378,25.37
379,25.0
380,25.5
381,25.5
382,25.56
383,25.43
384,25.56
385,25.0
386,24.68
387,24.93
388,25.0
389,24.43
390,24.37
391,24.31
392,24.25
393,24.25
394,24.12
395,23.87
396,24.06
397,24.18
398,25.0
399,25.68
400,28.12
401,27.68
402,28.18
403,31.12
404,30.31
405,32.18
406,31.75
407,34.12
408,32.87
409,33.43
410,32.12
411,32.12
412,31.68
413,33.5
414,33.06
415,34.56
416,30.81
417,30.56
418,28.62
419,27.87
420,27.37
421,27.18
422,26.81
423,26.81
424,26.56
425,26.75
