,Velocidad del viento (Km/h)
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,2.208588957
7,1.438561439
8,1.330868762
9,3.54679803
10,1.28113879
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,1.9123505980000002
17,0.0
18,0.0
19,2.267716535
20,0.0
21,3.0703624730000003
22,3.7994722960000002
23,1.047272727
24,3.75
25,0.0
26,1.568627451
27,2.594594595
28,3.609022556
29,5.475285171
30,2.661737523
31,2.474226804
32,1.4953271030000002
33,3.7597911230000003
34,0.0
35,0.0
36,0.0
37,0.0
38,2.95687885
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,1.32718894
45,0.0
46,3.192904656
47,0.0
48,0.0
49,0.0
50,0.0
51,1.0892586990000002
52,0.0
53,0.0
54,5.691699605
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,1.377990431
65,1.239242685
66,1.4619289340000001
67,0.0
68,1.773399015
69,1.3320999070000001
70,2.8180039139999997
71,1.296129613
72,1.4830072090000002
73,1.282279608
74,0.0
75,0.0
76,1.350844278
77,4.615384615
78,5.737051792999999
79,3.388235294
80,0.0
81,1.6161616159999999
82,0.0
83,1.594684385
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,4.26035503
94,0.0
95,0.0
96,2.127031019
97,0.0
98,0.0
99,1.077844311
100,0.0
101,0.0
102,3.090128755
103,0.0
104,10.0
105,0.0
106,1.044234953
107,0.0
108,0.0
109,0.0
110,0.0
111,1.541755889
112,0.0
113,3.654822335
114,0.0
115,5.198555957
116,3.6
117,3.037974684
118,3.396226415
119,3.063829787
120,4.784053156000001
121,2.914979757
122,1.253263708
123,1.020552799
124,6.605504587
125,3.150984683
126,1.347053321
127,3.044397463
128,2.296650718
129,3.609022556
130,5.87755102
131,0.0
132,1.7370325690000001
133,1.1374407579999999
134,0.0
135,0.0
136,0.0
137,1.5270413569999999
138,1.649484536
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,1.018387553
148,0.0
149,2.903225806
150,1.24567474
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,2.1884498480000003
166,1.160354553
167,0.0
168,1.4342629480000002
169,3.0508474580000002
170,4.721311475
171,2.285714286
172,2.453151618
173,3.257918552
174,5.950413222999999
175,2.987551867
176,6.486486486
177,2.9629629630000003
178,2.95687885
179,3.404255319
180,2.31511254
181,1.5789473680000001
182,0.0
183,6.075949367000001
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,1.029306648
197,1.292639138
198,0.0
199,3.64556962
200,0.0
201,1.1455847259999998
202,0.0
203,1.786600496
204,0.0
205,0.0
206,2.142857143
207,0.0
208,0.0
209,4.528301887
210,4.056338028
211,0.0
212,1.570338059
213,2.292993631
214,0.0
215,2.120765832
216,0.0
217,0.0
218,0.0
219,7.346938776
220,2.019635344
221,0.0
222,0.0
223,0.0
224,0.0
225,2.278481013
226,1.4472361809999998
227,4.982698962
228,4.864864865
229,1.379310345
230,7.236180905
231,3.891891892
232,2.845849802
233,2.9327902239999997
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,1.470888662
241,0.0
242,0.0
243,0.0
244,0.0
245,1.275465013
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,2.404006678
257,1.745454545
258,1.023454158
259,3.006263048
260,3.025210084
261,0.0
262,1.425742574
263,1.4814814809999999
264,0.0
265,10.58823529
266,2.642201835
267,2.016806723
268,1.9834710740000001
269,3.388235294
270,3.62720403
271,5.179856115
272,0.0
273,0.0
274,0.0
275,2.891566265
276,0.0
277,1.296129613
278,2.048364154
279,0.0
280,0.0
281,3.6
282,3.006263048
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,1.5
299,0.0
300,0.0
301,0.0
302,1.11627907
303,0.0
304,0.0
305,1.18616145
306,3.7209302330000003
307,2.175226586
308,0.0
309,1.469387755
310,1.16410671
311,2.62295082
312,1.8532818530000001
313,2.589928058
314,0.0
315,1.641961231
316,1.028571429
317,4.033613445
318,0.0
319,1.256544503
320,0.0
321,2.93877551
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,1.825095057
331,5.179856115
332,0.0
333,0.0
334,1.350844278
335,0.0
336,1.2111017659999999
337,0.0
338,0.0
339,0.0
340,1.300813008
341,0.0
342,2.517482517
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,1.7712177119999999
349,0.0
350,1.050328228
351,0.0
352,1.846153846
353,0.0
354,1.4663951119999998
355,1.6326530609999999
356,1.638225256
357,0.0
358,0.0
359,1.127642913
360,1.0480349340000001
361,0.0
362,0.0
363,1.199000833
364,8.044692737
365,1.135646688
366,1.698113208
367,1.1960132890000001
368,1.172638436
369,1.603563474
370,2.926829268
371,2.807017544
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,1.1285266459999999
379,0.0
380,2.98136646
381,1.52866242
382,1.5517241380000002
383,1.258741259
384,0.0
385,1.38063279
386,0.0
387,0.0
388,1.5110178380000001
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,1.756097561
402,3.0573248410000002
403,0.0
404,1.6
405,0.0
406,1.607142857
407,1.1285266459999999
408,3.881401617
409,1.486068111
410,1.728691477
411,3.388235294
412,1.472392638
413,3.469879518
414,0.0
415,0.0
416,1.135646688
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,2.975206612
426,1.185185185
427,1.638225256
428,2.146050671
429,2.345276873
430,2.218798151
431,1.766871166
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,55.38461538
438,3.214285714
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,1.2576419209999998
448,2.544169611
449,0.0
450,0.0
451,0.0
452,2.4
453,5.737051792999999
454,0.0
455,1.964529332
456,1.858064516
457,2.701688555
458,2.7118644069999998
459,3.45323741
460,2.987551867
461,7.30964467
462,4.528301887
463,1.8972332019999998
464,4.114285714
465,2.218798151
466,3.891891892
467,2.3723229
468,1.658986175
469,6.428571429
470,1.31147541
471,1.240310078
472,0.0
473,0.0
474,0.0
475,1.649484536
476,3.0508474580000002
