,Direccion del viento (Pos)
0,NO
1,E
2,SO
3,O
4,O
5,O
6,SO
7,E
8,SO
9,E
10,E
11,E
12,O
13,NO
14,S
15,SE
16,E
17,NO
18,NO
19,E
20,E
21,E
22,NO
23,NO
24,E
25,SO
26,NO
27,E
28,E
29,NE
30,E
31,E
32,E
33,E
34,NO
35,NO
36,NE
37,SO
38,E
39,SE
40,SO
41,S
42,S
43,S
44,NO
45,SO
46,E
47,E
48,SE
49,SE
50,SE
51,SO
52,SO
53,SO
54,S
55,SE
56,SO
57,NO
58,S
59,NO
60,NE
61,E
62,E
63,SE
64,E
65,SE
66,SE
67,O
68,SO
69,O
70,SO
71,S
72,SO
73,S
74,S
75,SO
76,NE
77,E
78,E
79,E
80,NO
81,NO
82,SO
83,E
84,SE
85,S
86,S
87,E
88,S
89,S
90,E
91,SO
92,S
93,SO
94,E
95,SO
96,SO
97,NO
98,E
99,SO
100,SO
101,E
102,SE
103,S
104,E
105,E
106,NO
107,S
108,NO
109,NO
110,SO
111,NO
112,E
113,E
114,O
115,NO
116,E
117,NO
118,E
119,NO
120,NO
121,NO
122,NO
123,E
124,E
125,NO
126,NE
127,E
128,NO
129,E
130,NO
131,E
132,NO
133,NO
134,NO
135,E
136,E
137,E
138,NE
139,E
140,E
141,E
142,NO
143,O
144,O
145,NO
146,E
147,E
148,NO
149,SO
150,E
151,NO
152,E
153,SE
154,O
155,SO
156,S
157,SE
158,SE
159,O
160,O
161,SO
162,S
163,O
164,SO
165,O
166,O
167,O
168,NO
169,NO
170,NO
171,NO
172,O
173,NO
174,NO
175,NE
176,E
177,E
178,E
179,O
180,NO
181,NO
182,NO
183,E
184,E
185,E
186,E
187,E
188,SO
189,E
190,SO
191,SO
192,SE
193,SE
194,SO
195,SE
196,SO
197,S
198,E
199,SE
200,S
201,SO
202,SO
203,S
204,S
205,SO
206,S
207,SE
208,SO
209,S
210,NE
211,S
212,O
213,S
214,SO
215,S
216,SO
217,SO
218,O
219,NO
220,SO
221,NO
222,NO
223,SO
224,S
225,SE
226,SE
227,SE
228,S
229,SE
230,E
231,SE
232,S
233,S
234,SE
235,S
236,S
237,SO
238,SO
239,S
240,S
241,S
242,E
243,SE
244,SE
245,SE
246,SE
247,SE
248,SE
249,E
250,NO
251,S
252,SE
253,S
254,NO
255,SE
256,SE
257,E
258,S
259,S
260,S
261,SE
262,S
263,SE
264,SE
265,S
266,SO
267,SO
268,SO
269,SO
270,SO
271,S
272,S
273,S
274,S
275,SE
276,SE
277,SO
278,O
279,E
280,E
281,NO
282,S
283,S
284,E
285,E
286,E
287,SO
288,S
289,S
290,E
291,SO
292,SE
293,SE
294,S
295,SE
296,E
297,S
298,S
299,S
300,S
301,E
302,SE
303,SE
304,S
305,S
306,S
307,S
308,E
309,SE
310,SO
311,O
312,SO
313,SE
314,SE
315,SE
316,NE
317,SE
318,NE
319,SE
320,E
321,SE
322,E
323,SE
324,SE
325,SE
326,SE
327,NO
328,S
329,S
330,E
331,S
332,S
333,S
334,SE
335,E
336,SE
337,E
338,SE
339,SE
340,SE
341,S
342,SE
343,SE
344,S
345,E
346,SE
347,S
348,E
349,S
350,SO
351,S
352,SE
353,SE
354,SO
355,S
356,O
357,SO
358,S
359,SO
360,E
361,SO
362,S
363,E
364,NO
365,NO
366,NO
367,NO
368,NO
369,E
370,NO
371,E
372,NO
373,NE
374,NO
375,SO
376,E
377,NO
378,SO
379,NO
380,E
381,NO
382,NO
383,NO
384,NO
385,E
386,NO
387,NO
388,E
389,E
390,O
391,NO
392,NO
393,NO
394,O
395,E
396,E
397,E
398,SE
399,E
400,NE
401,SO
402,SO
403,E
404,E
405,E
406,E
407,E
408,E
409,NO
410,NO
411,NO
412,NO
413,E
414,NO
415,SO
416,NO
417,S
418,SO
419,S
420,E
421,E
422,SO
423,SO
424,NO
425,E
426,E
427,NO
428,NO
429,E
430,NO
431,E
432,NO
433,NO
434,E
435,E
436,E
437,NO
438,NE
439,NO
440,NO
441,E
442,NO
443,E
444,NO
445,NO
446,E
447,SO
448,O
449,SO
450,SO
451,SE
452,SO
453,SO
454,SE
455,O
456,SO
457,NO
458,NO
459,NO
460,E
461,NO
462,SO
463,NE
464,E
465,E
466,O
467,E
468,E
469,O
470,E
471,NO
472,SO
473,NO
474,E
475,NO
476,NO
477,E
478,E
479,E
480,E
481,O
482,NO
483,NO
484,E
485,O
486,NO
487,NO
488,NO
489,SO
490,SO
491,SO
492,SO
493,E
494,SO
495,E
496,O
497,E
498,NO
499,E
500,NO
501,O
502,NO
503,O
504,E
505,NO
506,E
507,NO
508,NO
509,NO
510,NO
511,E
512,E
513,E
514,E
515,E
516,NO
517,O
518,NO
519,NO
520,E
521,E
522,NO
523,NE
524,E
525,E
526,SO
527,E
528,E
529,E
530,E
531,E
532,SO
533,O
534,NO
535,S
536,SO
537,O
538,SO
539,SO
540,S
541,SE
542,SE
543,E
544,S
545,E
546,SE
547,SE
548,S
549,SO
550,SO
551,SO
552,SE
553,S
554,SE
555,E
556,E
557,E
558,SO
559,E
560,SO
561,SO
562,SO
563,SO
564,NO
565,NO
566,SO
567,SE
568,SO
569,SO
570,SO
571,SO
572,E
573,SO
574,E
575,E
576,E
577,NO
578,E
579,NO
580,E
581,E
582,NO
583,E
584,SE
585,SO
586,E
587,E
588,NO
589,E
590,E
591,NO
592,NO
593,E
594,E
595,E
596,E
597,SO
598,NO
599,E
600,NO
601,NO
602,NO
603,E
604,E
605,E
606,O
607,E
608,E
609,E
610,NO
611,E
612,E
613,NO
614,E
615,NO
616,NO
617,E
618,NO
619,E
620,E
621,NO
622,NO
623,NO
624,SO
625,SO
626,E
627,E
628,E
629,E
630,E
631,E
632,E
633,E
634,NO
635,E
636,NO
637,SO
638,SO
639,SO
640,E
641,O
642,NE
643,E
644,E
645,NO
646,NO
647,E
648,SO
649,E
650,E
651,E
652,NO
653,O
654,NO
655,NO
656,E
657,SO
658,E
659,E
660,NO
661,NO
662,NO
663,E
664,O
665,NO
666,E
667,E
668,E
669,NO
670,E
671,NO
672,NO
673,E
674,E
675,NO
676,SO
677,E
678,E
679,E
680,SO
681,E
682,SO
683,E
684,NO
685,E
686,NO
687,NO
688,E
689,E
690,NO
691,E
692,NO
693,O
694,O
695,NO
696,O
697,NO
698,NO
699,NO
700,NO
701,NO
702,NO
703,E
704,E
705,NO
706,E
707,E
708,E
709,O
710,E
711,E
712,E
713,E
714,NO
715,NO
716,NO
717,NO
718,NO
719,NO
720,E
721,E
722,NO
723,E
724,NO
725,E
726,NO
727,E
728,E
729,E
730,NO
731,E
732,E
733,E
734,E
735,E
736,NO
737,NO
738,E
739,NO
740,O
741,O
742,NO
743,NO
744,NO
745,NO
746,O
747,NO
748,NO
749,NO
750,NO
751,NO
752,E
753,SO
754,E
755,E
756,NO
757,NO
758,E
759,E
760,NO
761,NO
762,NO
763,E
764,E
765,E
766,NO
767,NO
768,E
769,SO
770,NO
771,E
772,SO
773,NO
774,E
775,E
776,NO
777,E
778,NO
779,NO
780,SO
781,E
782,NO
783,E
784,NE
785,E
786,E
787,NO
788,NO
789,E
790,NO
791,NO
792,NO
793,NO
794,E
795,NO
796,NO
797,E
798,NO
799,E
800,E
801,E
802,NO
803,E
804,NO
805,E
806,NO
807,NO
808,O
809,E
810,E
811,NO
812,SO
813,NO
814,E
815,E
816,E
817,E
818,NO
819,E
820,NO
821,E
822,E
823,NO
824,NO
825,NO
826,E
827,E
828,E
829,NO
830,E
831,E
832,SO
833,E
834,NO
835,NO
836,NO
837,NO
838,E
839,NO
840,E
841,E
842,NO
843,E
844,E
845,NO
846,SO
847,NO
848,NO
849,NO
850,NO
851,E
852,E
853,NO
854,NE
855,O
856,E
857,NO
858,NE
859,E
860,E
861,E
862,NO
863,E
864,E
865,SO
866,E
867,SO
868,SO
869,E
870,SO
871,SO
872,E
873,NO
874,NO
875,NO
876,E
877,E
878,NO
879,E
880,N
881,SO
882,E
883,E
884,E
885,NO
886,E
887,E
888,NO
889,NO
890,NO
891,NO
892,NO
893,NO
894,NO
895,E
896,E
897,SO
898,NO
899,E
900,NO
901,NO
902,NO
903,E
904,NO
905,E
906,E
907,SO
908,NO
909,E
910,E
911,E
912,NO
913,NO
914,E
915,NO
916,NO
917,SO
918,S
919,E
920,E
921,NO
922,E
923,E
924,NO
925,E
926,SO
927,S
928,E
929,E
930,E
931,NO
932,NO
933,NO
934,E
935,SE
936,O
937,NO
938,E
939,NO
940,NO
941,NO
942,NO
943,E
944,E
945,E
946,E
947,NO
948,NO
949,NO
950,E
951,E
952,NO
953,NO
954,NO
955,E
956,NO
957,E
958,NO
959,E
960,E
961,E
962,NO
963,E
964,NO
965,O
966,E
967,E
968,NO
969,E
970,NE
971,NO
972,E
973,SO
974,E
975,E
976,E
977,NO
978,E
979,O
980,NO
981,E
982,E
983,O
984,E
985,O
986,NO
987,NO
988,E
989,E
990,NO
991,E
992,E
993,NO
994,E
995,SO
996,E
997,E
998,E
999,E
1000,E
1001,NO
1002,NO
1003,E
1004,NO
1005,NO
1006,O
1007,E
1008,NE
1009,NO
1010,NO
1011,E
1012,NO
1013,E
1014,NO
1015,NO
1016,E
1017,E
1018,NO
1019,SO
1020,NO
1021,E
1022,NE
1023,NE
1024,E
1025,NO
1026,E
1027,E
1028,NE
1029,E
1030,NO
1031,O
1032,O
1033,NO
1034,SO
1035,E
1036,NO
1037,NO
1038,E
1039,E
1040,E
1041,E
1042,E
1043,NO
1044,E
1045,E
1046,E
1047,SO
1048,NO
1049,E
1050,NO
1051,NO
1052,E
1053,NO
1054,NO
1055,E
1056,E
1057,NO
1058,E
1059,N
1060,E
1061,E
1062,E
1063,SO
1064,SO
1065,E
1066,NO
1067,E
1068,SO
1069,E
1070,E
1071,E
1072,E
1073,E
1074,SO
1075,SO
1076,E
1077,NO
1078,E
1079,SO
1080,E
1081,NO
1082,S
1083,NO
1084,NO
1085,NO
1086,O
1087,NO
1088,NO
1089,NO
1090,NO
1091,NO
1092,NO
1093,NE
1094,E
1095,NO
1096,E
1097,NE
1098,E
1099,E
1100,NO
1101,E
1102,SO
1103,E
1104,SO
1105,SO
1106,E
1107,SO
1108,NO
1109,SO
1110,E
1111,E
1112,O
1113,E
1114,E
1115,NO
1116,SO
1117,SO
1118,SO
1119,E
1120,E
1121,SO
1122,NE
1123,SO
1124,NO
1125,E
1126,E
1127,O
1128,E
1129,E
1130,NO
1131,NE
1132,NO
1133,E
1134,NO
1135,E
1136,E
1137,E
1138,E
1139,E
1140,NO
1141,E
1142,SO
1143,E
1144,NO
1145,NO
1146,E
1147,NO
1148,SO
1149,E
1150,E
1151,E
1152,NO
1153,NO
1154,E
1155,E
1156,NE
1157,SO
1158,E
1159,NO
1160,E
1161,E
1162,NO
1163,SO
1164,E
1165,E
1166,E
1167,SE
1168,E
1169,O
1170,O
1171,E
1172,NO
1173,NO
1174,SO
1175,NO
1176,NO
1177,E
1178,NO
1179,NO
1180,E
1181,NO
1182,NE
1183,E
1184,E
1185,E
1186,NO
1187,E
1188,NO
1189,SO
1190,E
1191,NO
1192,SO
1193,E
1194,SO
1195,NO
1196,NO
1197,E
1198,NO
1199,NE
1200,E
1201,E
1202,E
1203,E
1204,SO
1205,E
1206,E
1207,E
1208,O
1209,E
1210,E
1211,SO
1212,E
1213,S
1214,SO
1215,NO
1216,E
1217,SO
1218,SO
1219,E
1220,E
1221,SO
1222,SO
1223,NO
1224,NO
1225,E
1226,E
1227,NO
1228,NO
1229,NO
1230,NO
1231,NO
1232,O
1233,E
1234,E
1235,E
1236,E
1237,NE
1238,E
1239,NO
1240,E
1241,NO
1242,E
1243,E
1244,NE
1245,E
1246,NO
1247,E
1248,E
1249,SO
1250,E
1251,E
1252,SO
1253,E
1254,E
1255,SO
1256,SO
1257,E
1258,NO
1259,E
