,Luz (lux)
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,15
12,996
13,5816
14,8242
15,8917
16,27756
17,26536
18,21674
19,27756
20,28387
21,34366
22,37601
23,37180
24,46035
25,34755
26,43518
27,39775
28,44508
29,49247
30,23186
31,17703
32,8621
33,8524
34,5198
35,1786
36,154
37,2
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,22
60,1786
61,6084
62,9647
63,15644
64,19810
65,21919
66,31410
67,30368
68,23714
69,30368
70,37180
71,25085
72,9327
73,21919
74,18938
75,21674
76,17309
77,12079
78,9432
79,10554
80,10554
81,7283
82,5316
83,2503
84,414
85,2
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,11
108,507
109,4491
110,6885
111,34366
112,20721
113,17116
114,35947
115,38456
116,24253
117,33602
118,36354
119,40679
120,43032
121,47614
122,41139
123,48152
124,41605
125,24253
126,22671
127,18938
128,27139
129,11040
130,7365
131,3468
132,507
133,2
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,14
156,1089
157,4593
158,11548
159,16363
160,13516
161,22417
162,18938
163,20955
164,33982
165,35545
166,46555
167,43518
168,42551
169,49247
170,32488
171,48697
172,45011
173,42075
174,8150
175,22927
176,13068
177,8242
178,2237
179,743
180,115
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,14
204,1443
205,5082
206,11548
207,26536
208,23449
209,19810
210,27139
211,25655
212,30029
213,31765
214,38891
215,28708
216,44010
217,48152
218,50367
219,48152
220,14788
221,9978
222,5751
223,5751
224,12777
225,10320
226,3353
227,1727
228,379
229,2
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,14
252,2930
253,9119
254,11419
255,30029
256,29693
257,21919
258,30712
259,24253
260,39775
261,33602
262,7041
263,13980
264,10320
265,6963
266,10674
267,46035
268,14788
269,23449
270,30029
271,30712
272,17116
273,8242
274,6582
275,4391
276,1053
277,4
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,16
300,2531
301,6222
302,9539
303,13216
304,14623
305,17703
306,23714
307,20489
308,24253
309,32488
310,36765
311,43518
312,35148
313,46555
314,24527
315,48152
316,52095
317,48152
318,48152
319,23186
320,40679
321,33226
322,6885
323,1933
324,21
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,14
348,920
349,3710
350,7041
351,9432
352,14298
353,18517
354,20034
355,30029
356,29693
357,29693
358,29361
359,31059
360,32855
361,36765
362,25085
363,20489
364,27139
365,28070
366,21919
367,24253
368,15820
369,12354
370,8917
371,4804
372,1192
373,5
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,44
396,3353
397,8429
398,14460
399,20955
400,27139
401,22927
402,32488
403,23186
404,32488
405,47614
406,31410
407,14138
408,19153
409,25085
410,42551
411,48152
412,50367
413,43032
414,44508
415,39775
416,36354
417,31059
418,18106
419,3880
420,795
421,3
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,18
444,1492
445,5140
446,10436
447,14623
448,12922
449,12354
450,15125
451,18517
452,33602
453,16363
454,26836
455,24253
456,24253
457,22417
458,17703
459,23714
460,24527
461,15999
462,17505
463,19369
464,15296
465,11678
466,3391
467,2114
468,463
469,2
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,6
492,920
493,2708
494,9327
495,17903
496,16924
497,22927
498,22167
499,28387
500,32124
501,35545
502,35545
503,37601
504,40679
505,45520
506,42551
507,33226
508,53280
509,43032
510,17903
511,5140
512,4294
513,2163
514,1030
515,822
516,178
517,2
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,31
540,1933
541,7365
542,11810
543,21919
544,17116
545,34755
546,21919
547,39330
548,40679
549,20489
550,43518
551,39330
552,46555
553,46555
554,48152
555,51513
556,52095
557,45520
558,44508
559,42551
560,39330
561,33226
562,21192
563,13516
564,1443
565,7
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,8
588,777
589,1596
590,5751
591,10917
592,16735
593,19810
594,15820
595,20955
596,28708
597,28070
598,32124
599,29033
600,34755
601,4859
602,8718
603,13068
604,20260
605,13216
606,10436
607,14138
608,15125
609,6508
610,4441
611,1806
612,490
613,2
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,42
636,2420
637,7449
638,6885
639,13068
640,16363
641,31410
642,23186
643,38026
644,28387
645,36765
646,36354
647,42075
648,43518
649,34366
650,21432
651,20260
652,52095
653,35947
654,27446
655,22671
656,31765
657,23714
658,9017
659,3969
660,1018
661,5
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,26
684,1192
685,3099
686,7449
687,18517
688,14298
689,26536
690,17116
691,17116
692,25946
693,24805
694,27446
695,19588
696,21192
697,19588
698,20260
699,15820
700,15644
701,6222
702,1233
703,1427
704,1868
705,952
706,438
707,258
708,45
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
