,Temperatura (C)
0,23.75
1,23.68
2,23.68
3,23.56
4,23.5
5,23.56
6,23.68
7,23.68
8,23.93
9,24.06
10,24.0
11,24.06
12,24.06
13,24.5
14,25.37
15,26.18
16,31.75
17,30.31
18,30.31
19,31.68
20,31.31
21,32.93
22,34.81
23,33.75
24,33.56
25,33.37
26,32.93
27,35.0
28,34.81
29,37.43
30,33.37
31,32.12
32,29.37
33,28.18
34,27.31
35,25.56
36,25.0
37,24.25
38,24.12
39,24.0
40,24.06
41,23.93
42,23.81
43,23.87
44,23.68
45,23.75
46,24.06
47,24.0
48,23.5
49,23.56
50,23.43
51,23.56
52,23.81
53,23.68
54,23.5
55,23.56
56,23.37
57,23.5
58,23.37
59,23.37
60,23.68
61,25.37
62,25.93
63,28.06
64,29.06
65,29.87
66,31.56
67,32.12
68,31.31
69,32.56
70,34.62
71,32.37
72,24.31
73,27.25
74,27.25
75,30.68
76,29.62
77,29.0
78,28.12
79,28.87
80,28.37
81,28.06
82,27.5
83,26.68
84,25.81
85,25.56
86,25.43
87,25.12
88,25.18
89,25.0
90,24.62
91,24.31
92,24.37
93,24.31
94,24.87
95,24.43
96,23.81
97,23.81
98,23.68
99,23.37
100,23.37
101,23.37
102,23.37
103,23.25
104,23.06
105,23.12
106,23.06
107,23.5
108,23.68
109,24.0
110,25.18
111,31.25
112,29.68
113,31.43
114,33.43
115,31.68
116,32.62
117,35.56
118,35.87
119,34.81
120,33.31
121,34.43
122,34.31
123,36.18
124,35.0
125,34.06
126,32.81
127,31.62
128,33.93
129,30.81
130,30.0
131,29.25
132,28.25
133,26.18
134,24.68
135,23.93
136,23.5
137,23.75
138,23.87
139,23.93
140,23.81
141,23.75
142,23.81
143,24.0
144,23.93
145,23.93
146,23.87
147,23.93
148,23.43
149,23.62
150,23.75
151,23.68
152,23.62
153,23.5
154,23.56
155,23.43
156,23.56
157,23.93
158,25.06
159,25.5
160,25.62
161,28.31
162,29.18
163,29.37
164,32.5
165,31.0
166,34.5
167,35.43
168,33.5
169,34.12
170,33.75
171,35.43
172,34.12
173,35.25
174,30.18
175,28.93
176,27.75
177,27.12
178,26.81
179,26.0
180,26.0
181,25.25
182,24.68
183,24.56
184,24.12
185,24.18
186,24.31
187,24.0
188,23.43
189,23.68
190,23.81
191,23.87
192,23.93
193,23.81
194,23.87
195,23.87
196,23.93
197,24.0
198,23.87
199,23.81
200,23.75
201,23.68
202,23.68
203,23.56
204,23.62
205,23.93
206,24.87
207,28.25
208,30.68
209,29.68
210,32.37
211,31.37
212,32.56
213,31.75
214,34.25
215,32.43
216,32.62
217,33.25
218,32.81
219,34.68
220,31.87
221,30.18
222,28.0
223,28.31
224,27.25
225,27.43
226,26.31
227,25.62
228,25.06
229,24.68
230,24.62
231,24.62
232,24.25
233,23.93
234,23.87
235,23.93
236,23.81
237,23.75
238,23.75
239,23.75
240,23.75
241,23.68
242,23.62
243,23.5
244,23.43
245,23.43
246,23.43
247,23.56
248,23.56
249,23.68
250,23.68
251,23.75
252,24.0
253,25.18
254,25.93
255,30.56
256,34.37
257,30.06
258,33.56
259,33.06
260,34.93
261,38.18
262,27.56
263,27.81
264,23.68
265,23.56
266,24.0
267,27.62
268,27.68
269,28.56
270,30.93
271,32.06
272,30.68
273,28.06
274,28.06
275,27.25
276,26.06
277,25.56
278,25.31
279,25.31
280,25.25
281,25.06
282,25.0
283,24.75
284,24.75
285,24.37
286,24.12
287,23.93
288,23.75
289,23.93
290,24.0
291,24.06
292,23.93
293,23.87
294,23.87
295,23.81
296,23.75
297,23.81
298,23.37
299,23.5
300,24.12
301,24.81
302,25.87
303,27.37
304,27.68
305,28.18
306,30.12
307,30.06
308,31.87
309,33.37
310,33.12
311,34.25
312,34.12
313,34.5
314,33.31
315,33.37
316,37.25
317,37.56
318,37.87
319,34.62
320,39.06
321,39.43
322,32.06
323,27.75
324,23.87
325,23.12
326,23.12
327,23.18
328,23.37
329,23.37
330,23.25
331,23.18
332,23.25
333,23.37
334,23.37
335,23.31
336,23.37
337,23.25
338,23.12
339,23.12
340,23.12
341,23.06
342,23.12
343,22.81
344,22.81
345,22.87
346,22.87
347,22.93
348,23.0
349,23.5
350,23.81
351,24.18
352,24.68
353,26.0
354,27.93
355,29.81
356,32.06
357,30.37
358,31.87
359,32.18
360,32.75
361,34.18
362,33.25
363,32.25
364,33.87
365,32.12
366,32.12
367,31.68
368,31.18
369,30.18
370,29.81
371,28.75
372,27.56
373,26.37
374,25.56
375,25.25
376,25.06
377,24.93
378,24.68
379,24.37
380,24.18
381,24.12
382,24.0
383,23.87
384,23.87
385,23.62
386,23.43
387,23.62
388,23.5
389,23.43
390,23.43
391,23.31
392,23.31
393,23.12
394,23.0
395,22.87
396,23.93
397,26.75
398,32.12
399,34.62
400,32.75
401,32.56
402,31.5
