,Velocidad del viento (Km/h)
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,1.4103819780000002
17,1.786600496
18,0.0
19,0.0
20,4.721311475
21,1.111969112
22,0.0
23,2.6086956519999998
24,1.540106952
25,0.0
26,2.530755712
27,0.0
28,3.356643357
29,0.0
30,1.451612903
31,1.339534884
32,1.226575809
33,1.206030151
34,4.04494382
35,4.2352941180000006
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,1.22971819
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,3.031578947
66,1.986206897
67,1.391304348
68,1.951219512
69,1.371428571
70,3.977900552
71,1.242450388
72,0.0
73,0.0
74,1.7245508980000002
75,1.592920354
76,0.0
77,6.288209607000001
78,1.5270413569999999
79,0.0
80,1.098398169
81,0.0
82,0.0
83,0.0
84,0.0
85,3.5207823960000004
86,2.045454545
87,0.0
88,1.184210526
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,1.0958904109999998
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,1.118012422
112,2.208588957
113,1.262050833
114,4.102564103
115,1.179361179
116,0.0
117,1.8181818180000002
118,0.0
119,5.78313253
120,0.0
121,0.0
122,2.4324324319999997
123,1.42999007
124,1.225531915
125,2.1917808219999997
126,0.0
127,1.018387553
128,3.192904656
129,0.0
130,0.0
131,0.0
132,0.0
133,5.538461538
134,1.014084507
135,8.780487805
136,0.0
137,0.0
138,1.195020747
139,0.0
140,5.647058824
141,0.0
142,0.0
143,0.0
144,1.486068111
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,1.09008327
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,7.659574468
161,0.0
162,0.0
163,0.0
164,0.0
165,3.388235294
166,1.907284768
167,4.0793201130000005
168,1.3926499030000001
169,1.297297297
170,1.9780219780000001
171,0.0
172,0.0
173,2.495667244
174,5.017421603
175,1.518987342
176,1.1419508329999999
177,1.791044776
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,1.086792453
187,0.0
188,2.926829268
189,1.782178218
190,1.244598099
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,1.649484536
211,1.222410866
212,0.0
213,1.8997361480000001
214,2.045454545
215,1.641961231
216,1.560130011
217,0.0
218,1.841432225
219,2.845849802
220,1.16410671
221,2.482758621
222,1.86770428
223,8.421052632
224,2.796116505
225,0.0
226,5.581395349
227,1.730769231
228,0.0
229,0.0
230,0.0
231,6.0
232,5.76
233,2.763915547
234,0.0
235,1.986206897
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,1.294964029
245,0.0
246,0.0
247,1.4271556
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,1.244598099
257,2.063037249
258,0.0
259,0.0
260,0.0
261,0.0
262,3.5555555560000003
263,1.1774325429999999
264,2.208588957
265,0.0
266,0.0
267,1.075429425
268,1.239242685
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,1.0169491529999999
303,0.0
304,0.0
305,0.0
306,7.346938776
307,0.0
308,0.0
309,0.0
310,1.2676056340000001
311,6.127659574
312,1.07946027
313,0.0
314,7.236180905
315,1.5078534030000001
316,0.0
317,1.472392638
318,4.403669725
319,42.35294118
320,1.9123505980000002
321,0.0
322,0.0
323,3.333333333
324,2.8125
325,3.9560439560000003
326,2.647058824
327,0.0
328,0.0
329,1.375358166
330,1.238177128
331,3.388235294
332,0.0
333,0.0
334,1.160354553
335,0.0
336,0.0
337,1.029306648
338,2.548672566
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,1.102603369
355,0.0
356,2.632541133
357,8.888888889
358,0.0
359,1.467889908
360,1.8
361,0.0
362,0.0
363,2.036775106
364,0.0
365,0.0
366,0.0
367,3.2359550560000003
368,1.052631579
369,1.359773371
370,1.191066998
371,2.763915547
372,1.431411531
373,3.870967742
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,5.950413222999999
399,0.0
400,2.613430127
401,8.13559322
402,1.714285714
403,0.0
404,0.0
405,1.262050833
406,1.730769231
407,1.9538670280000001
408,0.0
409,2.396006656
410,2.834645669
411,1.9123505980000002
412,0.0
413,1.30198915
414,2.517482517
415,1.7183770880000002
416,1.2903225809999999
417,1.4187192119999998
418,2.807017544
419,3.243243243
420,1.19205298
421,1.024182077
422,4.210526316
423,5.975103734
424,1.940700809
425,1.548387097
426,0.0
427,2.071942446
428,0.0
429,0.0
430,1.587651599
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,1.975308642
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,6.79245283
452,1.173594132
453,1.580680571
454,3.31797235
455,1.827411168
456,1.6822429909999999
457,2.260596546
458,1.069042316
459,2.9629629630000003
460,3.1718061669999997
461,4.864864865
462,1.383285303
463,0.0
464,1.421520237
465,7.384615385
466,4.056338028
467,1.575492341
468,2.6815642459999998
469,0.0
470,1.387283237
471,4.4582043339999995
472,0.0
473,0.0
474,1.126760563
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,3.287671233
481,0.0
482,0.0
483,0.0
484,3.609022556
485,3.923705722
486,1.5533980580000002
487,0.0
488,0.0
489,1.907284768
490,1.49068323
491,1.240310078
492,2.647058824
