,Direccion del viento (Pos)
0,SO
1,SO
2,SO
3,NO
4,NO
5,NO
6,S
7,SE
8,SE
9,N
10,SE
11,SE
12,SE
13,O
14,O
15,NO
16,SE
17,NO
18,NO
19,SE
20,NO
21,NO
22,NE
23,NO
24,O
25,NO
26,O
27,S
28,NO
29,NE
30,O
31,NO
32,NO
33,NO
34,NE
35,E
36,NO
37,S
38,NE
39,O
40,NO
41,S
42,NE
43,SE
44,SE
45,SE
46,O
47,SE
48,NO
49,SE
50,NO
51,O
52,NO
53,SO
54,N
55,N
56,SE
57,SE
58,SE
59,SE
60,SE
61,NO
62,SE
63,SO
64,SO
65,SE
66,E
67,S
68,SO
69,SO
70,S
71,SO
72,SE
73,O
74,SO
75,SE
76,S
77,SE
78,SO
79,NO
80,O
81,NO
82,NO
83,NO
84,S
85,NO
86,NO
87,NO
88,O
89,NO
90,NO
91,E
92,S
93,SE
94,SE
95,S
96,N
97,NO
98,S
99,NE
100,N
101,NE
102,O
103,NE
104,N
105,NO
106,NO
107,N
108,N
109,N
110,N
111,S
112,O
113,S
114,SO
115,S
116,NO
117,O
118,S
119,SO
120,S
121,NO
122,SO
123,O
124,SO
125,SO
126,SE
127,SO
128,O
129,S
130,E
131,NO
132,NO
133,NE
134,O
135,NO
136,SE
137,NO
138,E
139,SO
140,E
141,SE
142,NO
143,E
144,SO
145,S
146,S
147,NO
148,SO
149,O
150,S
151,NO
152,NO
153,NE
154,O
155,NO
156,NO
157,O
158,NO
159,O
160,N
161,SE
162,NO
163,N
164,NO
165,NO
166,O
167,SO
168,O
169,O
170,O
171,NO
172,SO
173,NO
174,NO
175,NO
176,NO
177,NO
178,NO
179,NO
180,S
181,SO
182,SO
183,N
184,SE
185,E
186,SE
187,O
188,SO
189,O
190,O
191,NO
192,S
193,S
194,E
195,E
196,SO
197,NO
198,E
199,SE
200,NO
201,SE
202,SE
203,SE
204,SO
205,SO
206,SO
207,SE
208,NO
209,E
210,O
211,NO
212,NO
213,O
214,O
215,S
216,O
217,NO
218,NO
219,NO
220,NO
221,SE
222,SO
223,SE
224,E
225,S
226,SE
227,NE
228,S
229,SE
230,SE
231,E
232,SE
233,SE
234,S
235,NO
236,NO
237,NO
238,NO
239,NO
240,NO
241,NO
242,NO
243,NO
244,SO
245,O
246,SE
247,SE
248,SE
249,N
