peso,fecha
19.59,2018-07-31 07:43:56
19.5,2018-07-31 07:43:58
23.0,2018-07-31 07:44:00
18.0,2018-07-31 07:44:02
19.0,2018-07-31 07:44:03
23.5,2018-07-31 07:44:05
15.5,2018-07-31 07:44:07
21.5,2018-07-31 07:44:08
25.5,2018-07-31 07:44:10
19.5,2018-07-31 07:44:11
24.0,2018-07-31 07:44:13
21.0,2018-07-31 07:44:15
23.0,2018-07-31 07:44:17
26.0,2018-07-31 07:44:18
28.0,2018-07-31 07:44:20
21.0,2018-07-31 07:44:22
26.0,2018-07-31 07:44:24
10.5,2018-07-31 07:44:25
23.0,2018-07-31 07:44:27
21.0,2018-07-31 07:44:28
20.5,2018-07-31 07:44:30
28.59,2018-07-31 09:45:25
24.5,2018-07-31 09:45:26
18.0,2018-07-31 09:45:28
21.5,2018-07-31 09:45:30
18.5,2018-07-31 09:45:31
20.5,2018-07-31 09:45:33
17.5,2018-07-31 09:45:35
23.5,2018-07-31 09:45:36
31.5,2018-07-31 09:45:38
21.0,2018-07-31 09:45:40
24.5,2018-07-31 09:45:42
29.5,2018-07-31 09:45:43
25.0,2018-07-31 09:45:45
30.5,2018-07-31 09:45:47
35.0,2018-07-31 09:45:48
22.0,2018-07-31 09:45:50
26.0,2018-07-31 09:45:51
23.0,2018-07-31 09:45:53
26.0,2018-07-31 09:45:54
23.59,2018-07-31 10:23:35
14.0,2018-07-31 10:23:38
26.5,2018-07-31 10:23:40
27.0,2018-07-31 10:23:43
26.5,2018-07-31 10:23:45
20.5,2018-07-31 10:23:47
25.5,2018-07-31 10:23:48
18.5,2018-07-31 10:23:50
27.0,2018-07-31 10:23:52
21.0,2018-07-31 10:23:53
17.5,2018-07-31 10:23:55
26.0,2018-07-31 10:23:57
18.0,2018-07-31 10:23:59
27.0,2018-07-31 10:24:00
27.5,2018-07-31 10:24:02
21.5,2018-07-31 10:24:04
23.5,2018-07-31 10:24:05
23.5,2018-07-31 10:24:07
23.0,2018-07-31 10:24:09
15.5,2018-07-31 10:24:10
25.59,2018-07-31 11:06:42
22.0,2018-07-31 11:06:44
27.5,2018-07-31 11:06:46
30.0,2018-07-31 11:06:47
21.0,2018-07-31 11:06:49
22.5,2018-07-31 11:06:51
27.0,2018-07-31 11:06:53
23.5,2018-07-31 11:06:54
25.5,2018-07-31 11:06:56
18.5,2018-07-31 11:06:58
15.0,2018-07-31 11:06:59
25.5,2018-07-31 11:07:01
24.5,2018-07-31 11:07:02
24.5,2018-07-31 11:07:04
17.0,2018-07-31 11:07:06
16.0,2018-07-31 11:07:07
21.5,2018-07-31 11:07:09
26.0,2018-07-31 11:07:10
