peso,fecha,nombreLote,numeroLote,lat,lng,nombreFinca
23.09,2018-07-27 07:08:58,5,5,7.76623098,-76.7626756,Porvenir
30.5,2018-07-27 07:09:01,5,5,7.76623098,-76.7626756,Porvenir
19.5,2018-07-27 07:09:02,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-07-27 07:09:04,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-07-27 07:09:06,5,5,7.76623098,-76.7626756,Porvenir
26,2018-07-27 07:09:08,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-07-27 07:09:10,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-07-27 07:09:12,5,5,7.76623098,-76.7626756,Porvenir
27,2018-07-27 07:09:14,5,5,7.76623098,-76.7626756,Porvenir
27,2018-07-27 07:09:16,5,5,7.76623098,-76.7626756,Porvenir
29,2018-07-27 07:09:18,5,5,7.76623098,-76.7626756,Porvenir
31,2018-07-27 07:09:21,5,5,7.76623098,-76.7626756,Porvenir
29,2018-07-27 07:09:23,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-07-27 07:09:25,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-07-27 07:09:27,5,5,7.76623098,-76.7626756,Porvenir
26,2018-07-27 07:09:29,5,5,7.76623098,-76.7626756,Porvenir
35,2018-07-27 07:09:31,5,5,7.76623098,-76.7626756,Porvenir
35,2018-07-27 07:09:33,5,5,7.76623098,-76.7626756,Porvenir
27,2018-07-27 07:09:34,5,5,7.76623098,-76.7626756,Porvenir
28,2018-07-27 07:09:36,5,5,7.76623098,-76.7626756,Porvenir
32.59,2018-07-27 07:37:18,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-07-27 07:37:20,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-07-27 07:37:22,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-07-27 07:37:24,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-07-27 07:37:26,5,5,7.76623098,-76.7626756,Porvenir
18.5,2018-07-27 07:37:27,5,5,7.76623098,-76.7626756,Porvenir
25,2018-07-27 07:37:29,5,5,7.76623098,-76.7626756,Porvenir
23,2018-07-27 07:37:31,5,5,7.76623098,-76.7626756,Porvenir
32.5,2018-07-27 07:37:33,5,5,7.76623098,-76.7626756,Porvenir
31.5,2018-07-27 07:37:35,5,5,7.76623098,-76.7626756,Porvenir
25,2018-07-27 07:37:36,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-07-27 07:37:38,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-07-27 07:37:40,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-07-27 07:37:42,5,5,7.76623098,-76.7626756,Porvenir
27,2018-07-27 07:37:43,5,5,7.76623098,-76.7626756,Porvenir
25,2018-07-27 07:37:45,5,5,7.76623098,-76.7626756,Porvenir
28,2018-07-27 07:37:47,5,5,7.76623098,-76.7626756,Porvenir
34,2018-07-27 07:37:48,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-07-27 07:37:50,5,5,7.76623098,-76.7626756,Porvenir
30,2018-07-27 07:37:51,5,5,7.76623098,-76.7626756,Porvenir
29.09,2018-07-27 09:15:23,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-07-27 09:15:25,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-07-27 09:15:26,5,5,7.76623098,-76.7626756,Porvenir
25,2018-07-27 09:15:28,5,5,7.76623098,-76.7626756,Porvenir
25,2018-07-27 09:15:29,5,5,7.76623098,-76.7626756,Porvenir
18.5,2018-07-27 09:15:31,5,5,7.76623098,-76.7626756,Porvenir
29,2018-07-27 09:15:32,5,5,7.76623098,-76.7626756,Porvenir
30.5,2018-07-27 09:15:34,5,5,7.76623098,-76.7626756,Porvenir
28,2018-07-27 09:15:35,5,5,7.76623098,-76.7626756,Porvenir
24,2018-07-27 09:15:37,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-07-27 09:15:38,5,5,7.76623098,-76.7626756,Porvenir
23,2018-07-27 09:15:40,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-07-27 09:15:41,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-07-27 09:15:43,5,5,7.76623098,-76.7626756,Porvenir
20.5,2018-07-27 09:15:44,5,5,7.76623098,-76.7626756,Porvenir
27,2018-07-27 09:15:46,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-07-27 09:15:47,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-07-27 09:15:48,5,5,7.76623098,-76.7626756,Porvenir
24,2018-07-27 09:15:50,5,5,7.76623098,-76.7626756,Porvenir
28.09,2018-07-27 09:50:31,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-07-27 09:50:33,5,5,7.76623098,-76.7626756,Porvenir
22,2018-07-27 09:50:35,5,5,7.76623098,-76.7626756,Porvenir
14,2018-07-27 09:50:36,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-07-27 09:50:38,5,5,7.76623098,-76.7626756,Porvenir
15.5,2018-07-27 09:50:39,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-07-27 09:50:41,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-07-27 09:50:43,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-07-27 09:50:44,5,5,7.76623098,-76.7626756,Porvenir
13.5,2018-07-27 09:50:46,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-07-27 09:50:47,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-07-27 09:50:49,5,5,7.76623098,-76.7626756,Porvenir
29,2018-07-27 09:50:51,5,5,7.76623098,-76.7626756,Porvenir
22.5,2018-07-27 09:50:52,5,5,7.76623098,-76.7626756,Porvenir
29,2018-07-27 09:50:54,5,5,7.76623098,-76.7626756,Porvenir
29,2018-07-27 09:50:55,5,5,7.76623098,-76.7626756,Porvenir
37,2018-07-27 09:50:56,5,5,7.76623098,-76.7626756,Porvenir
24,2018-07-27 09:50:58,5,5,7.76623098,-76.7626756,Porvenir
29,2018-07-27 09:50:59,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-07-27 09:51:00,5,5,7.76623098,-76.7626756,Porvenir
25.09,2018-07-27 10:22:37,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-07-27 10:22:39,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-07-27 10:22:41,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-07-27 10:22:42,5,5,7.76623098,-76.7626756,Porvenir
24,2018-07-27 10:22:44,5,5,7.76623098,-76.7626756,Porvenir
30.5,2018-07-27 10:22:46,5,5,7.76623098,-76.7626756,Porvenir
24,2018-07-27 10:22:48,5,5,7.76623098,-76.7626756,Porvenir
30.5,2018-07-27 10:22:50,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-07-27 10:22:52,5,5,7.76623098,-76.7626756,Porvenir
32.5,2018-07-27 10:22:53,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-07-27 10:22:55,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-07-27 10:22:57,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-07-27 10:22:58,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-07-27 10:23:00,5,5,7.76623098,-76.7626756,Porvenir
33,2018-07-27 10:23:02,5,5,7.76623098,-76.7626756,Porvenir
15.5,2018-07-27 10:23:03,5,5,7.76623098,-76.7626756,Porvenir
13,2018-07-27 10:23:05,5,5,7.76623098,-76.7626756,Porvenir
20.5,2018-07-27 10:23:07,5,5,7.76623098,-76.7626756,Porvenir
28,2018-07-27 10:23:08,5,5,7.76623098,-76.7626756,Porvenir
32,2018-07-27 10:23:10,5,5,7.76623098,-76.7626756,Porvenir
24.59,2018-07-27 11:09:23,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-07-27 11:09:25,5,5,7.76623098,-76.7626756,Porvenir
34,2018-07-27 11:09:27,5,5,7.76623098,-76.7626756,Porvenir
12.5,2018-07-27 11:09:28,5,5,7.76623098,-76.7626756,Porvenir
17,2018-07-27 11:09:30,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-07-27 11:09:31,5,5,7.76623098,-76.7626756,Porvenir
22,2018-07-27 11:09:33,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-07-27 11:09:34,5,5,7.76623098,-76.7626756,Porvenir
21.5,2018-07-27 11:09:36,5,5,7.76623098,-76.7626756,Porvenir
