Fecha.10,Hora.10,PORVL14N1
2018-01-12,01:04:02,1.36
2018-01-12,02:04:02,1.36
2018-01-12,03:04:02,1.36
2018-01-12,04:04:00,1.36
2018-01-12,05:04:00,1.36
2018-01-12,06:04:00,1.36
2018-01-12,07:04:00,1.36
2018-01-12,08:04:05,1.36
2018-01-12,09:04:01,1.36
2018-01-12,10:04:04,1.36
2018-01-12,11:04:02,1.36
2018-01-12,12:04:03,1.35
2018-01-12,13:04:00,1.35
2018-01-12,14:04:00,1.34
2018-01-12,15:04:01,1.34
2018-01-12,16:04:01,1.34
2018-01-12,17:04:04,1.34
2018-01-12,18:04:05,1.34
2018-01-12,19:04:05,1.34
2018-01-12,20:04:03,1.34
2018-01-12,21:04:02,1.34
2018-01-12,22:04:00,1.34
2018-01-12,23:04:00,1.34
2018-01-13,00:04:16,1.34
2018-01-13,01:04:00,1.34
2018-01-13,02:04:00,1.34
2018-01-13,03:04:01,1.34
2018-01-13,04:04:32,1.34
2018-01-13,05:04:00,1.34
2018-01-13,06:04:00,1.34
2018-01-13,07:04:00,1.34
2018-01-13,08:04:01,1.34
2018-01-13,09:04:03,1.34
2018-01-13,10:04:02,1.34
2018-01-13,11:04:02,1.34
2018-01-13,12:04:02,1.34
2018-01-13,13:04:03,1.34
2018-01-13,14:04:03,1.34
2018-01-13,15:04:00,0.88
2018-01-13,16:04:00,0.88
2018-01-13,17:04:04,0.88
2018-01-13,18:04:01,0.88
2018-01-13,19:04:04,0.88
2018-01-13,20:04:02,0.88
2018-01-13,21:04:03,0.88
2018-01-13,22:04:00,0.88
2018-01-13,23:04:00,0.88
2018-01-14,00:04:01,0.88
2018-01-14,01:04:00,0.88
2018-01-14,02:04:00,0.88
2018-01-14,03:04:00,0.88
2018-01-14,04:04:01,0.88
2018-01-14,05:04:01,0.88
2018-01-14,06:04:02,0.88
2018-01-14,07:04:00,0.88
2018-01-14,08:04:00,0.88
2018-01-14,09:04:00,0.88
2018-01-14,10:04:01,0.88
2018-01-14,11:04:01,0.88
2018-01-14,12:04:01,0.88
2018-01-14,13:04:02,0.66
2018-01-14,14:04:03,0.66
2018-01-14,15:04:02,0.68
2018-01-14,16:04:01,0.68
2018-01-14,17:04:03,0.68
2018-01-14,18:04:01,0.68
2018-01-14,19:04:01,0.68
2018-01-14,20:04:32,0.68
2018-01-14,21:04:07,0.68
2018-01-14,22:04:05,0.68
2018-01-14,23:04:05,0.68
2018-01-15,00:04:00,0.68
2018-01-15,01:04:00,0.68
2018-01-15,02:04:00,0.68
2018-01-15,03:04:03,0.68
2018-01-15,04:04:07,0.68
2018-01-15,05:04:03,0.68
2018-01-15,06:04:04,0.68
2018-01-15,07:04:05,0.68
2018-01-15,08:04:07,0.68
2018-01-15,09:04:01,0.68
2018-01-15,10:04:01,0.68
2018-01-15,11:04:02,0.68
2018-01-15,12:04:04,0.68
2018-01-15,13:04:07,0.68
2018-01-15,14:04:05,0.68
2018-01-15,15:04:08,0.68
2018-01-15,15:38:03,0.69
2018-01-15,16:41:38,0.68
2018-01-15,17:41:42,0.69
2018-01-15,18:41:37,0.69
2018-01-15,19:41:41,0.71
2018-01-15,20:41:40,0.72
2018-01-15,21:41:39,0.73
2018-01-15,22:41:39,0.75
2018-01-15,23:41:38,0.76
2018-01-16,00:41:35,0.77
2018-01-16,01:41:36,0.79
2018-01-16,02:41:37,0.8
2018-01-16,03:41:36,0.81
2018-01-16,04:41:38,0.82
2018-01-16,05:42:26,0.84
2018-01-16,06:41:36,0.85
2018-01-16,07:41:40,0.86
2018-01-16,08:41:42,0.88
2018-01-16,09:41:47,0.89
2018-01-16,10:41:40,0.9
2018-01-16,11:41:39,0.91
2018-01-16,12:41:39,0.92
2018-01-16,13:41:56,0.93
2018-01-16,14:41:40,0.93
