Fecha,Hora,PORVL2N1
2018-01-12,01:37:47,0.65
2018-01-12,02:37:45,0.65
2018-01-12,03:37:50,0.64
2018-01-12,04:37:44,0.63
2018-01-12,05:37:45,0.61
2018-01-12,06:37:46,0.59
2018-01-12,07:37:49,0.57
2018-01-12,08:37:48,0.56
2018-01-12,09:37:51,0.55
2018-01-12,10:37:48,0.54
2018-01-12,11:37:46,0.54
2018-01-12,12:37:46,0.55
2018-01-12,13:37:46,0.57
2018-01-12,14:37:46,0.57
2018-01-12,15:37:47,0.57
2018-01-12,16:38:26,0.57
2018-01-12,17:37:47,0.57
2018-01-12,18:37:48,0.58
2018-01-12,19:37:46,0.58
2018-01-12,20:37:46,0.58
2018-01-12,21:37:45,0.09
2018-01-12,22:37:46,0.09
2018-01-12,23:37:46,0.09
2018-01-13,00:37:47,0.09
2018-01-13,01:37:47,0.08
2018-01-13,02:37:47,0.09
2018-01-13,03:37:47,0.09
2018-01-13,04:37:47,0.1
2018-01-13,05:37:45,0.11
2018-01-13,06:37:45,0.11
2018-01-13,07:37:46,0.12
2018-01-13,08:37:47,0.11
2018-01-13,09:37:47,0.11
2018-01-13,10:37:47,0.11
2018-01-13,11:37:48,0.11
2018-01-13,12:37:47,0.12
2018-01-13,13:37:46,0.13
2018-01-13,14:37:45,0.13
2018-01-13,15:37:50,0.14
2018-01-13,16:37:46,0.16
2018-01-13,17:37:47,0.17
2018-01-13,18:37:47,0.18
2018-01-13,19:37:48,0.19
2018-01-13,20:37:48,0.2
2018-01-13,21:37:46,0.22
2018-01-13,22:37:46,0.23
2018-01-13,23:37:45,0.23
2018-01-14,00:37:45,0.23
2018-01-14,01:37:46,0.23
2018-01-14,02:37:46,0.23
2018-01-14,03:37:47,0.23
2018-01-14,04:37:47,0.23
2018-01-14,05:37:47,0.23
2018-01-14,06:37:45,0.23
2018-01-14,07:37:50,0.23
2018-01-14,08:37:46,0.07
2018-01-14,09:37:46,0.08
2018-01-14,10:38:25,0.09
2018-01-14,11:37:47,0.09
2018-01-14,12:37:48,0.1
2018-01-14,13:37:48,0.11
2018-01-14,14:37:46,0.12
2018-01-14,15:37:46,0.14
2018-01-14,16:37:46,0.15
2018-01-14,17:37:46,0.16
2018-01-14,18:37:46,0.18
2018-01-14,19:37:47,0.19
2018-01-14,20:37:48,0.2
2018-01-14,21:37:48,0.22
2018-01-14,22:37:48,0.23
2018-01-14,23:37:46,0.24
2018-01-15,00:37:46,0.25
2018-01-15,01:37:45,0.1
2018-01-15,02:37:46,0.1
2018-01-15,03:37:46,0.1
2018-01-15,04:37:47,0.1
2018-01-15,05:37:47,0.1
2018-01-15,06:37:48,0.09
2018-01-15,07:37:46,0.09
2018-01-15,08:37:46,0.09
2018-01-15,09:37:46,0.1
2018-01-15,10:37:47,0.09
2018-01-15,11:37:53,0.09
2018-01-15,12:37:54,0.09
2018-01-15,13:37:48,0.09
2018-01-15,14:37:48,0.09
2018-01-15,15:37:53,0.09
2018-01-15,16:37:47,0.1
2018-01-15,17:37:46,0.11
2018-01-15,18:37:46,0.11
2018-01-15,19:38:25,0.12
2018-01-15,20:37:47,0.13
2018-01-15,21:37:51,0.14
2018-01-15,22:37:48,0.15
2018-01-15,23:37:48,0.16
2018-01-16,00:37:48,0.18
2018-01-16,01:37:46,0.19
2018-01-16,02:37:46,0.2
2018-01-16,03:37:45,0.21
2018-01-16,04:37:46,0.22
2018-01-16,05:37:47,0.23
2018-01-16,06:37:48,0.24
2018-01-16,07:37:48,0.25
2018-01-16,08:37:51,0.27
2018-01-16,09:37:49,0.29
2018-01-16,10:37:46,0.32
2018-01-16,11:37:48,0.34
2018-01-16,12:37:47,0.36
2018-01-16,13:37:48,0.37
2018-01-16,14:37:47,0.39
2018-01-16,15:37:54,0.41
2018-01-16,16:37:48,0.39
2018-01-16,17:37:49,0.41
2018-01-16,18:37:47,0.31
2018-01-16,19:37:47,0.3
2018-01-16,20:37:46,0.29
2018-01-16,21:37:46,0.28
2018-01-16,22:37:47,0.27
2018-01-16,23:37:48,0.27
2018-01-17,00:37:48,0.27
2018-01-17,01:37:48,0.27
2018-01-17,02:37:45,0.27
2018-01-17,03:37:46,0.28
2018-01-17,04:38:24,0.29
2018-01-17,05:37:46,0.31
2018-01-17,06:37:46,0.34
2018-01-17,07:37:50,0.36
2018-01-17,08:37:48,0.38
2018-01-17,09:37:48,0.4
2018-01-17,10:37:52,0.39
2018-01-17,11:37:53,0.48
2018-01-17,12:38:07,0.48
2018-01-17,13:37:46,0.49
2018-01-17,14:37:47,0.49
2018-01-17,15:37:47,0.49
2018-01-17,16:38:17,0.5
2018-01-17,17:37:50,0.5
2018-01-17,18:37:49,0.5
2018-01-17,19:37:49,0.51
2018-01-17,20:37:47,0.12
2018-01-17,21:37:47,0.12
2018-01-17,22:37:46,0.12
2018-01-17,23:38:33,0.12
2018-01-17,23:38:43,0.12
2018-01-17,23:39:43,0.12
2018-01-18,00:37:47,0.12
2018-01-18,01:37:47,0.11
2018-01-18,02:37:47,0.1
2018-01-18,03:37:49,0.1
2018-01-18,04:37:46,0.1
2018-01-18,05:37:46,0.11
2018-01-18,06:37:45,0.11
2018-01-18,07:37:47,0.12
2018-01-18,08:37:47,0.12
2018-01-18,09:37:49,0.13
2018-01-18,10:37:48,0.14
2018-01-18,11:37:51,0.13
2018-01-18,12:37:49,0.14
2018-01-18,13:37:47,0.16
2018-01-18,14:37:49,0.17
2018-01-18,15:37:46,0.18
2018-01-18,16:37:48,0.17
2018-01-18,17:37:54,0.19
2018-01-18,18:37:52,0.21
2018-01-18,19:37:48,0.22
2018-01-18,20:37:49,0.23
2018-01-18,21:37:49,0.25
2018-01-18,22:37:47,0.27
2018-01-18,23:37:47,0.29
2018-01-19,00:37:46,0.3
2018-01-19,01:37:47,0.28
2018-01-19,02:37:47,0.28
2018-01-19,03:37:47,0.28
2018-01-19,04:37:47,0.28
2018-01-19,05:37:48,0.28
2018-01-19,06:37:47,0.28
2018-01-19,07:37:47,0.28
2018-01-19,08:37:47,0.06
2018-01-19,09:37:47,0.07
2018-01-19,10:37:48,0.07
2018-01-19,11:37:48,0.08
2018-01-19,12:37:48,0.09
2018-01-19,13:37:51,0.1
2018-01-19,14:37:53,0.11
2018-01-19,15:37:47,0.12
