Fecha.7,Hora.7,PORVL9N1
2018-01-12,01:55:11,1.16
2018-01-12,02:55:14,1.16
2018-01-12,03:55:14,1.16
2018-01-12,04:55:15,1.15
2018-01-12,05:55:16,1.16
2018-01-12,06:55:17,1.16
2018-01-12,07:55:14,1.16
2018-01-12,08:55:11,1.15
2018-01-12,09:55:14,1.15
2018-01-12,10:55:15,1.15
2018-01-12,11:55:18,1.15
2018-01-12,12:55:33,1.15
2018-01-12,13:55:15,1.15
2018-01-12,14:55:29,1.14
2018-01-12,15:55:14,1.15
2018-01-12,16:55:12,1.15
2018-01-12,17:55:19,1.16
2018-01-12,18:55:16,1.16
2018-01-12,19:55:19,0.64
2018-01-12,20:55:16,0.64
2018-01-12,21:55:17,0.66
2018-01-12,22:55:13,0.63
2018-01-12,23:55:17,0.42
2018-01-13,00:55:10,0.5
2018-01-13,01:55:11,0.58
2018-01-13,02:55:14,0.66
2018-01-13,03:55:30,0.67
2018-01-13,04:55:32,0.69
2018-01-13,05:55:12,0.71
2018-01-13,06:55:14,0.73
2018-01-13,07:55:16,0.74
2018-01-13,08:55:17,0.76
2018-01-13,09:55:12,0.77
2018-01-13,10:55:12,0.78
2018-01-13,11:55:15,0.8
2018-01-13,12:55:16,0.81
2018-01-13,13:55:21,0.82
2018-01-13,14:55:16,0.83
2018-01-13,15:55:16,0.83
2018-01-13,16:55:18,0.84
2018-01-13,17:55:16,0.85
2018-01-13,18:55:16,0.85
2018-01-13,19:55:15,0.86
2018-01-13,20:55:17,0.86
2018-01-13,21:55:14,0.87
2018-01-13,22:55:16,0.87
2018-01-13,23:55:15,0.87
2018-01-14,00:55:16,0.7
2018-01-14,01:55:17,0.69
2018-01-14,02:55:10,0.68
2018-01-14,03:55:12,0.68
2018-01-14,04:55:13,0.67
2018-01-14,05:55:16,0.66
2018-01-14,06:55:32,0.65
2018-01-14,07:55:15,0.65
2018-01-14,08:55:16,0.64
2018-01-14,09:55:34,0.65
2018-01-14,10:55:19,0.66
2018-01-14,11:55:12,0.68
2018-01-14,12:55:13,0.7
2018-01-14,13:55:16,0.71
2018-01-14,14:55:15,0.73
2018-01-14,15:55:15,0.75
2018-01-14,16:55:16,0.77
2018-01-14,17:55:17,0.78
2018-01-14,18:55:20,0.8
2018-01-14,19:55:16,0.81
2018-01-14,20:55:12,0.82
2018-01-14,21:55:18,0.83
2018-01-14,22:55:15,0.84
2018-01-14,23:55:14,0.85
2018-01-15,00:55:12,0.85
2018-01-15,01:55:32,0.85
2018-01-15,02:55:17,0.53
2018-01-15,03:55:16,0.53
2018-01-15,04:55:11,0.55
2018-01-15,05:55:11,0.65
2018-01-15,06:55:33,0.65
2018-01-15,07:55:19,0.67
2018-01-15,08:55:16,0.69
2018-01-15,09:55:17,0.7
2018-01-15,10:55:15,0.72
2018-01-15,11:55:16,0.73
2018-01-15,12:55:14,0.74
2018-01-15,13:55:12,0.75
2018-01-15,14:56:03,0.76
2018-01-15,15:55:18,0.77
2018-01-15,16:55:16,0.78
2018-01-15,17:55:17,0.79
2018-01-15,18:55:16,0.8
2018-01-15,19:55:19,0.81
2018-01-15,20:55:18,0.82
2018-01-15,21:55:18,0.83
2018-01-15,22:55:12,0.83
2018-01-15,23:55:14,0.84
2018-01-16,00:55:14,0.85
2018-01-16,01:55:21,0.85
2018-01-16,02:55:15,0.85
2018-01-16,03:55:13,0.86
2018-01-16,04:55:16,0.86
2018-01-16,05:55:17,0.87
2018-01-16,06:55:12,0.87
2018-01-16,07:55:12,0.87
2018-01-16,08:55:18,0.88
2018-01-16,09:55:19,0.88
2018-01-16,10:55:49,0.89
2018-01-16,11:55:16,0.9
2018-01-16,12:55:34,0.9
2018-01-16,13:55:18,0.9
2018-01-16,14:55:18,0.91
2018-01-16,15:55:12,0.91
2018-01-16,16:55:16,0.91
2018-01-16,17:55:19,0.92
2018-01-16,18:55:20,0.92
2018-01-16,19:55:16,0.92
2018-01-16,20:55:16,0.92
2018-01-16,21:55:16,0.93
2018-01-16,22:55:17,0.93
2018-01-16,23:55:12,0.93
2018-01-17,00:55:12,0.93
2018-01-17,01:55:15,0.94
2018-01-17,02:55:15,0.94
2018-01-17,03:55:14,0.94
2018-01-17,04:55:15,0.94
2018-01-17,05:55:16,0.95
2018-01-17,06:55:18,0.95
2018-01-17,07:55:18,0.95
2018-01-17,08:55:12,0.96
2018-01-17,09:55:12,0.96
2018-01-17,10:55:19,0.97
2018-01-17,11:55:16,0.97
2018-01-17,12:55:16,0.97
2018-01-17,13:55:19,0.98
2018-01-17,14:55:20,0.98
2018-01-17,15:55:14,0.98
2018-01-17,16:55:18,0.98
2018-01-17,17:55:12,0.99
2018-01-17,18:55:15,0.99
2018-01-17,19:55:13,0.99
2018-01-17,20:55:13,0.99
2018-01-17,21:55:16,0.23
2018-01-17,22:55:17,0.43
2018-01-17,23:55:16,0.5
2018-01-18,00:55:16,0.58
2018-01-18,01:55:17,0.66
2018-01-18,02:55:17,0.66
2018-01-18,03:55:18,0.68
2018-01-18,04:55:13,0.69
2018-01-18,05:55:15,0.71
2018-01-18,06:55:16,0.73
2018-01-18,07:55:34,0.74
2018-01-18,08:55:18,0.76
2018-01-18,09:55:18,0.78
2018-01-18,10:55:20,0.79
2018-01-18,11:55:20,0.81
2018-01-18,12:55:16,0.82
2018-01-18,13:55:14,0.83
2018-01-18,14:55:16,0.84
2018-01-18,15:55:13,0.85
2018-01-18,16:55:16,0.85
2018-01-18,17:55:20,0.86
2018-01-18,18:55:15,0.86
2018-01-18,19:55:18,0.87
2018-01-18,20:55:18,0.88
2018-01-18,21:55:14,0.88
2018-01-18,22:55:21,0.88
2018-01-18,23:55:16,0.89
2018-01-19,00:55:15,0.89
2018-01-19,01:55:14,0.89
2018-01-19,02:55:14,0.79
2018-01-19,03:55:34,0.68
2018-01-19,04:55:18,0.68
2018-01-19,05:55:13,0.69
2018-01-19,06:55:13,0.69
2018-01-19,07:55:28,0.7
2018-01-19,08:55:16,0.7
2018-01-19,09:55:17,0.71
2018-01-19,10:55:18,0.71
2018-01-19,11:55:19,0.72
2018-01-19,12:55:18,0.73
2018-01-19,13:55:22,0.74
2018-01-19,14:55:17,0.75
2018-01-19,15:55:16,0.76
2018-01-19,16:55:18,0.77
2018-01-19,17:55:17,0.78
2018-01-19,18:55:16,0.79
2018-01-19,19:55:17,0.8
2018-01-19,20:55:19,0.81
2018-01-19,21:55:18,0.82
2018-01-19,22:55:23,0.83
2018-01-19,23:55:13,0.84
2018-01-20,00:55:13,0.84
2018-01-20,01:55:16,0.85
2018-01-20,02:55:16,0.85
2018-01-20,03:55:17,0.86
2018-01-20,04:55:17,0.86
2018-01-20,05:55:17,0.87
2018-01-20,06:55:20,0.87
2018-01-20,07:55:13,0.88
2018-01-20,08:55:17,0.88
2018-01-20,09:55:19,0.89
2018-01-20,10:55:17,0.89
2018-01-20,11:55:18,0.9
2018-01-20,12:55:23,0.9
2018-01-20,13:55:18,0.91
2018-01-20,14:55:16,0.91
2018-01-20,15:55:21,0.91
