Numero: ,Estoma:  ,Tara: ,Peso(Kg): ,Sobrepeso(Kg): ,Embarque(Kg): ,Fecha: 
1,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:41:45
2,PORVB2,2.78,19.76,0.26,19.5,2018-04-11 07:41:54
3,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 07:42:26
4,PORVB2,2.78,19.62,0.12,19.5,2018-04-11 07:43:03
5,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 07:43:38
6,PORVB2,2.78,19.5,0,19.5,2018-04-11 07:44:15
7,PORVB2,2.78,19.72,0.22,19.5,2018-04-11 07:45:41
8,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:45:56
9,PORVB2,2.78,19.56,0.06,19.5,2018-04-11 07:46:18
10,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 07:46:27
11,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 07:46:44
12,PORVB2,2.78,19.7,0.2,19.5,2018-04-11 07:46:54
13,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:47:15
14,PORVB2,2.78,19.76,0.26,19.5,2018-04-11 07:47:56
15,PORVB2,2.78,19.78,0.28,19.5,2018-04-11 07:48:05
16,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:48:29
17,PORVB2,2.78,19.62,0.12,19.5,2018-04-11 07:49:09
18,PORVB2,2.78,19.5,0,19.5,2018-04-11 07:49:26
19,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:49:37
20,PORVB2,2.78,19.56,0.06,19.5,2018-04-11 07:50:03
21,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:50:23
22,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 07:50:37
23,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 07:50:55
24,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 07:51:07
25,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:51:17
26,PORVB2,2.78,19.74,0.24,19.5,2018-04-11 07:51:26
27,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 07:51:42
28,PORVB2,2.78,19.48,-0.02,19.5,2018-04-11 07:51:57
29,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 07:52:10
30,PORVB2,2.78,19.72,0.22,19.5,2018-04-11 07:52:36
31,PORVB2,2.78,19.74,0.24,19.5,2018-04-11 07:52:50
32,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 07:53:02
33,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 07:53:17
34,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 07:53:29
35,PORVB2,2.78,19.7,0.2,19.5,2018-04-11 07:53:50
36,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 07:54:23
37,PORVB2,2.78,19.56,0.06,19.5,2018-04-11 07:54:41
38,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 07:54:54
39,PORVB2,2.78,19.78,0.28,19.5,2018-04-11 07:55:05
40,PORVB2,2.78,19.8,0.3,19.5,2018-04-11 07:55:18
41,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 07:55:29
42,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:55:35
43,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 07:55:47
44,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 07:56:09
45,PORVB2,2.78,19.7,0.2,19.5,2018-04-11 07:56:19
46,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 07:56:34
47,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 07:56:48
48,PORVB2,2.78,19.78,0.28,19.5,2018-04-11 07:56:58
49,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:57:13
50,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:57:23
51,PORVB2,2.78,19.5,0,19.5,2018-04-11 07:57:35
52,PORVB2,2.78,19.7,0.2,19.5,2018-04-11 07:57:50
53,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 07:58:09
54,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 07:58:18
55,PORVB2,2.78,19.7,0.2,19.5,2018-04-11 07:58:34
56,PORVB2,2.78,19.62,0.12,19.5,2018-04-11 07:58:46
57,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 07:58:56
58,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 07:59:31
59,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 07:59:46
60,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 08:00:02
61,PORVB2,2.78,19.5,0,19.5,2018-04-11 08:00:17
62,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 08:00:31
63,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 08:00:44
64,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 08:00:58
65,PORVB2,2.78,19.62,0.12,19.5,2018-04-11 08:37:07
66,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 08:37:41
67,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 08:37:52
68,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 08:38:08
69,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 08:38:25
70,PORVB2,2.78,19.56,0.06,19.5,2018-04-11 08:38:50
71,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 08:39:29
72,PORVB2,2.78,19.5,0,19.5,2018-04-11 08:39:41
73,PORVB2,2.78,19.5,0,19.5,2018-04-11 08:40:00
74,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 08:40:30
75,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 08:40:54
76,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 08:41:17
77,PORVB2,2.78,19.46,-0.04,19.5,2018-04-11 08:41:37
78,PORVB2,2.78,19.78,0.28,19.5,2018-04-11 08:41:52
79,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 08:42:03
80,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 08:42:13
81,PORVB2,2.78,19.48,-0.02,19.5,2018-04-11 08:42:22
82,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 08:42:35
83,PORVB2,2.78,19.76,0.26,19.5,2018-04-11 08:42:45
84,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 08:42:54
85,PORVB2,2.78,19.72,0.22,19.5,2018-04-11 08:43:06
86,PORVB2,2.78,19.48,-0.02,19.5,2018-04-11 08:43:20
87,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 08:43:32
88,PORVB2,2.78,19.92,0.42,19.5,2018-04-11 08:43:52
89,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 08:44:02
90,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 08:44:14
91,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 08:44:28
92,PORVB2,2.78,19.62,0.12,19.5,2018-04-11 08:44:39
93,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 08:44:54
94,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 08:45:12
95,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 08:45:45
96,PORVB2,2.78,19.8,0.3,19.5,2018-04-11 08:45:54
97,PORVB2,2.78,19.8,0.3,19.5,2018-04-11 08:46:09
98,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 08:46:25
99,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 08:46:42
100,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 08:47:01
101,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 08:47:13
102,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 08:47:24
103,PORVB2,2.78,19.56,0.06,19.5,2018-04-11 08:47:36
104,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 08:48:05
105,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 08:48:15
106,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 08:48:25
107,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 08:48:44
108,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 08:49:05
109,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 08:49:33
110,PORVB2,2.78,19.56,0.06,19.5,2018-04-11 08:49:48
111,PORVB2,2.78,19.72,0.22,19.5,2018-04-11 08:49:59
112,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 08:50:20
113,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 08:50:34
114,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 08:50:51
115,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 08:51:13
116,PORVB2,2.78,19.62,0.12,19.5,2018-04-11 08:51:37
117,PORVB2,2.78,19.32,0.22,19.1,2018-04-11 08:54:19
118,PORVB2,2.78,19.18,0.08,19.1,2018-04-11 08:54:58
119,PORVB2,2.78,19.14,0.04,19.1,2018-04-11 08:55:41
120,PORVB2,2.78,19.16,0.06,19.1,2018-04-11 08:55:53
121,PORVB2,2.78,19.26,0.16,19.1,2018-04-11 08:57:06
122,PORVB2,2.78,19.1,0,19.1,2018-04-11 08:57:22
123,PORVB2,2.78,19.22,0.12,19.1,2018-04-11 08:57:57
124,PORVB2,2.78,19.06,-0.04,19.1,2018-04-11 08:58:10
125,PORVB2,2.78,19.18,0.08,19.1,2018-04-11 08:58:38
126,PORVB2,2.78,19.14,0.04,19.1,2018-04-11 08:58:49
127,PORVB2,2.78,19.34,0.24,19.1,2018-04-11 08:59:11
128,PORVB2,2.78,19.26,0.16,19.1,2018-04-11 08:59:35
129,PORVB2,2.78,19.2,0.1,19.1,2018-04-11 09:00:13
130,PORVB2,2.78,19.1,0,19.1,2018-04-11 09:00:31
131,PORVB2,2.78,19.5,0,19.5,2018-04-11 09:07:53
132,PORVB2,2.78,19.76,0.26,19.5,2018-04-11 09:08:02
133,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 09:08:15
134,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 09:08:34
135,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 09:08:54
136,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 09:09:17
137,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 09:09:36
138,PORVB2,2.78,19.72,0.22,19.5,2018-04-11 09:09:50
139,PORVB2,2.78,19.5,0,19.5,2018-04-11 09:10:16
140,PORVB2,2.78,19.7,0.2,19.5,2018-04-11 09:10:53
141,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 09:11:04
142,PORVB2,2.78,19.56,0.06,19.5,2018-04-11 09:11:20
143,PORVB2,2.78,19.56,0.06,19.5,2018-04-11 09:11:41
144,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 09:11:53
145,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 09:12:13
146,PORVB2,2.78,19.5,0,19.5,2018-04-11 09:12:23
147,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 09:12:33
148,PORVB2,2.78,19.62,0.12,19.5,2018-04-11 09:12:58
