Farm,# Bunchs,# 8,# 9,# 10,# 11,# 12,Average Weight (Kg),Maximum (Kg),Minimum (Kg),Total Weight,Kg/Hectare,Area (Hectare),,Day,Week
Porvenir,7646,1,791,4186,2469,199,23.4,57.1,4.6,178831,844.7,211.7,From,2018-07-27 00:00:00,30
,,,,,,,,,,,,,Until,2018-08-03 23:59:59,31
Lot,# Bunchs,# 8,# 9,# 10,# 11,# 12,Average Weight (Kg),Maximum (Kg),Minimum (Kg),Total Weight,Kg/Hectare,Area (Hectare),,,
5,418,0,64,285,69,0,24.9,39,8.5,10426,1226.6,8.5,,,
6,1225,0,225,769,179,52,23.1,41,4.6,28253,3762,7.5,,,
7,461,0,1,170,290,0,24.7,41.5,6,11387,906.9,12.6,,,
8,297,0,0,47,250,0,23.8,37.5,12.5,7083,769.9,9.2,,,
9,391,0,37,236,118,0,26.8,44,9,10474,1235.1,8.5,,,
10,284,0,27,192,55,10,24,42,9,6815,1013.5,6.7,,,
11,313,0,0,168,145,0,23.5,41,11,7360,1198.5,6.1,,,
12,311,0,2,242,55,12,24.2,40,11,7526,1379.6,5.5,,,
13,523,0,30,295,193,5,23.9,42,4.6,12486,2474.5,5,,,
14,269,0,67,173,29,0,20.3,33.5,10,5467,1188,4.6,,,
15,78,0,0,48,30,0,22.8,35,10.5,1781,468.2,3.8,,,
16,277,0,0,122,155,0,22.3,40,9.5,6182,500.7,12.3,,,
17,172,0,24,96,45,7,24,38,11,4122,343.1,12,,,
18,502,1,20,237,244,0,21.9,47.5,8,11008,725.5,15.2,,,
19,286,0,13,206,67,0,21.9,37.5,11.5,6258,425.2,14.7,,,
20,251,0,50,163,38,0,21.4,34.5,10.5,5371,422.4,12.7,,,
21,408,0,6,252,150,0,23.5,44.5,9.5,9577,829.7,11.5,,,
22,343,0,1,149,193,0,24.4,41,8,8361,820.6,10.2,,,
23,179,0,53,85,23,18,23.6,44,8.5,4228,501.5,8.4,,,
24,141,0,0,13,34,94,22.5,57.1,9.5,3175,533.2,6,,,
25,517,0,171,238,107,1,22.2,36.5,8.5,11490,2664.6,4.3,,,
