Fecha:,Direccion del viento (Pos)
2018-01-12 00:17:28,NO
2018-01-12 00:47:28,E
2018-01-12 01:17:27,SO
2018-01-12 01:47:27,O
2018-01-12 02:17:28,O
2018-01-12 02:47:27,O
2018-01-12 03:17:24,SO
2018-01-12 03:47:26,E
2018-01-12 04:17:25,SO
2018-01-12 04:47:29,E
2018-01-12 05:17:29,E
2018-01-12 05:47:31,E
2018-01-12 06:17:33,O
2018-01-12 06:47:30,NO
2018-01-12 07:17:30,S
2018-01-12 07:47:27,SE
2018-01-12 08:17:25,E
2018-01-12 08:47:35,NO
2018-01-12 09:17:28,NO
2018-01-12 09:47:24,E
2018-01-12 10:17:28,E
2018-01-12 10:47:25,E
2018-01-12 11:17:24,NO
2018-01-12 11:47:25,NO
2018-01-12 12:17:25,E
2018-01-12 12:47:31,SO
2018-01-12 13:17:25,NO
2018-01-12 13:47:26,E
2018-01-12 14:17:28,E
2018-01-12 14:47:26,NE
2018-01-12 15:17:30,E
2018-01-12 15:47:27,E
2018-01-12 16:17:26,E
2018-01-12 16:47:31,E
2018-01-12 17:17:27,NO
2018-01-12 17:47:29,NO
2018-01-12 18:17:28,NE
2018-01-12 18:47:28,SO
2018-01-12 19:17:27,E
2018-01-12 19:47:29,SE
2018-01-12 20:17:29,SO
2018-01-12 20:47:32,S
2018-01-12 21:17:29,S
2018-01-12 21:47:26,S
2018-01-12 22:17:26,NO
2018-01-12 22:47:30,SO
2018-01-12 23:17:26,E
2018-01-12 23:47:30,E
2018-01-13 00:17:27,SE
2018-01-13 00:47:27,SE
2018-01-13 01:17:27,SE
2018-01-13 01:47:24,SO
2018-01-13 02:17:28,SO
2018-01-13 02:47:27,SO
2018-01-13 03:17:30,S
2018-01-13 03:47:28,SE
2018-01-13 04:17:27,SO
2018-01-13 04:47:28,NO
2018-01-13 05:17:28,S
2018-01-13 05:47:28,NO
2018-01-13 06:17:29,NE
2018-01-13 06:47:31,E
2018-01-13 07:17:30,E
2018-01-13 07:47:30,SE
2018-01-13 08:17:27,E
2018-01-13 08:47:27,SE
2018-01-13 09:17:27,SE
2018-01-13 09:47:28,O
2018-01-13 10:17:26,SO
2018-01-13 10:47:25,O
2018-01-13 11:17:27,SO
2018-01-13 11:47:27,S
2018-01-13 12:17:24,SO
2018-01-13 12:47:25,S
2018-01-13 13:17:29,S
2018-01-13 13:47:29,SO
2018-01-13 14:17:26,NE
2018-01-13 14:47:26,E
2018-01-13 15:17:25,E
2018-01-13 15:47:25,E
2018-01-13 16:17:31,NO
2018-01-13 16:47:31,NO
2018-01-13 17:17:31,SO
2018-01-13 17:47:25,E
2018-01-13 18:17:29,SE
2018-01-13 18:47:29,S
2018-01-13 19:17:28,S
2018-01-13 19:47:30,E
2018-01-13 20:17:29,S
2018-01-13 20:47:29,S
2018-01-13 21:17:28,E
2018-01-13 21:47:29,SO
2018-01-13 22:17:29,S
2018-01-13 22:47:26,SO
2018-01-13 23:17:29,E
2018-01-13 23:47:39,SO
2018-01-14 00:17:25,SO
2018-01-14 00:47:33,NO
2018-01-14 01:17:29,E
2018-01-14 01:47:26,SO
2018-01-14 02:17:28,SO
2018-01-14 02:47:29,E
2018-01-14 03:17:24,SE
2018-01-14 03:47:28,S
2018-01-14 04:17:27,E
2018-01-14 04:47:28,E
2018-01-14 05:17:25,NO
2018-01-14 05:47:27,S
2018-01-14 06:17:28,NO
2018-01-14 06:47:32,NO
2018-01-14 07:17:43,SO
2018-01-14 07:47:25,NO
2018-01-14 08:17:29,E
2018-01-14 08:47:25,E
2018-01-14 09:17:27,O
2018-01-14 09:47:29,NO
2018-01-14 10:17:27,E
2018-01-14 10:47:27,NO
2018-01-14 11:17:25,E
2018-01-14 11:47:28,NO
2018-01-14 12:17:24,NO
2018-01-14 12:47:24,NO
2018-01-14 13:17:25,NO
2018-01-14 13:47:26,E
2018-01-14 14:17:25,E
2018-01-14 14:47:25,NO
2018-01-14 15:17:29,NE
2018-01-14 15:47:25,E
2018-01-14 16:17:25,NO
2018-01-14 16:47:26,E
2018-01-14 17:17:29,NO
2018-01-14 17:47:27,E
2018-01-14 18:17:27,NO
2018-01-14 18:47:31,NO
2018-01-14 19:17:27,NO
