Fecha:,Luz (lux)
2018-01-12 00:17:28,1
2018-01-12 00:47:28,1
2018-01-12 01:17:27,1
2018-01-12 01:47:27,1
2018-01-12 02:17:28,1
2018-01-12 02:47:27,1
2018-01-12 03:17:24,1
2018-01-12 03:47:26,1
2018-01-12 04:17:25,1
2018-01-12 04:47:29,1
2018-01-12 05:17:29,1
2018-01-12 05:47:30,1
2018-01-12 06:17:33,43
2018-01-12 06:47:30,1089
2018-01-12 07:17:30,5025
2018-01-12 07:47:27,5561
2018-01-12 08:17:25,10554
2018-01-12 08:47:35,12493
2018-01-12 09:17:28,13824
2018-01-12 09:47:24,21919
2018-01-12 10:17:28,31059
2018-01-12 10:47:25,29693
2018-01-12 11:17:24,25946
2018-01-12 11:47:25,32124
2018-01-12 12:17:25,49804
2018-01-12 12:47:31,26536
2018-01-12 13:17:25,46555
2018-01-12 13:47:26,26239
2018-01-12 14:17:28,49804
2018-01-12 14:47:26,15999
2018-01-12 15:17:30,15125
2018-01-12 15:47:27,10795
2018-01-12 16:17:26,7618
2018-01-12 16:47:31,2138
2018-01-12 17:17:27,657
2018-01-12 17:47:29,178
2018-01-12 18:17:28,6
2018-01-12 18:47:28,1
2018-01-12 19:17:27,1
2018-01-12 19:47:29,1
2018-01-12 20:17:29,1
2018-01-12 20:47:32,1
2018-01-12 21:17:29,1
2018-01-12 21:47:26,1
2018-01-12 22:17:26,1
2018-01-12 22:47:30,1
2018-01-12 23:17:26,1
2018-01-12 23:47:29,1
2018-01-13 00:17:27,1
2018-01-13 00:47:27,1
2018-01-13 01:17:27,1
2018-01-13 01:47:24,1
2018-01-13 02:17:28,1
2018-01-13 02:47:27,1
2018-01-13 03:17:30,1
2018-01-13 03:47:28,1
2018-01-13 04:17:27,1
2018-01-13 04:47:28,1
2018-01-13 05:17:28,1
2018-01-13 05:47:28,1
2018-01-13 06:17:29,46
2018-01-13 06:47:31,804
2018-01-13 07:17:30,2618
2018-01-13 07:47:30,5025
2018-01-13 08:17:27,8917
2018-01-13 08:47:27,17309
