Fecha:,Temperatura (C)
2018-01-12 00:17:28,25.06
2018-01-12 00:47:28,24.81
2018-01-12 01:17:27,24.62
2018-01-12 01:47:27,24.56
2018-01-12 02:17:30,24
2018-01-12 02:47:28,24.06
2018-01-12 03:17:24,23.31
2018-01-12 03:47:26,23.43
2018-01-12 04:17:25,23.56
2018-01-12 04:47:29,23.56
2018-01-12 05:17:29,23.56
2018-01-12 05:47:32,23.31
2018-01-12 06:17:33,23.25
2018-01-12 06:47:30,23.37
2018-01-12 07:17:30,23.81
2018-01-12 07:47:27,24.12
2018-01-12 08:17:25,24.43
2018-01-12 08:47:35,25.93
2018-01-12 09:17:28,26.68
2018-01-12 09:47:24,27.5
2018-01-12 10:17:28,29.81
2018-01-12 10:47:25,29.06
2018-01-12 11:17:24,29.25
2018-01-12 11:47:26,31
2018-01-12 12:17:25,32
2018-01-12 12:47:31,30.93
2018-01-12 13:17:25,31.37
2018-01-12 13:47:26,30
2018-01-12 14:17:28,31.31
2018-01-12 14:47:26,28.31
2018-01-12 15:17:30,27.81
2018-01-12 15:47:27,27.25
2018-01-12 16:17:26,27
2018-01-12 16:47:31,26.56
2018-01-12 17:17:27,26.37
2018-01-12 17:47:29,26.25
2018-01-12 18:17:28,26.06
2018-01-12 18:47:28,24.81
2018-01-12 19:17:27,23.06
2018-01-12 19:47:29,23.18
2018-01-12 20:17:29,23.56
2018-01-12 20:47:32,23.75
2018-01-12 21:17:29,23.93
2018-01-12 21:47:26,24.06
2018-01-12 22:17:26,23.87
2018-01-12 22:47:30,23.43
2018-01-12 23:17:26,23.18
2018-01-12 23:47:30,23.18
2018-01-13 00:17:27,23.25
2018-01-13 00:47:28,23.06
2018-01-13 01:17:27,23
2018-01-13 01:47:24,22.93
2018-01-13 02:17:29,23
2018-01-13 02:47:27,22.93
2018-01-13 03:17:30,22.87
2018-01-13 03:47:28,22.93
2018-01-13 04:17:27,23
2018-01-13 04:47:28,23.06
2018-01-13 05:17:28,23
2018-01-13 05:47:28,23
2018-01-13 06:17:29,23.18
2018-01-13 06:47:31,23.31
2018-01-13 07:17:31,23.5
2018-01-13 07:47:30,23.56
2018-01-13 08:17:27,23.43
2018-01-13 08:47:27,24.68
2018-01-13 09:17:27,27.06
2018-01-13 09:47:28,26.37
2018-01-13 10:17:26,26.56
2018-01-13 10:47:25,26.81
2018-01-13 11:17:27,28.43
2018-01-13 11:47:27,28.93
2018-01-13 12:17:24,29.68
2018-01-13 12:47:25,31.12
2018-01-13 13:17:29,29.31
2018-01-13 13:47:29,30.56
2018-01-13 14:17:26,29
2018-01-13 14:47:26,30.25
2018-01-13 15:17:25,27.31
2018-01-13 15:47:25,25.87
2018-01-13 16:17:31,25.12
2018-01-13 16:47:31,24.62
2018-01-13 17:17:31,24.18
2018-01-13 17:47:25,24
2018-01-13 18:17:29,23.93
2018-01-13 18:47:29,23.81
2018-01-13 19:17:28,24.06
2018-01-13 19:47:30,24.12
2018-01-13 20:17:29,24.18
2018-01-13 20:47:29,24.25
2018-01-13 21:17:30,24.18
2018-01-13 21:47:29,24
2018-01-13 22:17:29,24.31
2018-01-13 22:47:26,24.12
2018-01-13 23:17:29,24.06
2018-01-13 23:47:39,24.25
2018-01-14 00:17:25,24.12
2018-01-14 00:47:33,24.12
2018-01-14 01:17:29,24
2018-01-14 01:47:26,24
2018-01-14 02:17:28,23.81
2018-01-14 02:47:29,23.87
2018-01-14 03:17:24,23.75
2018-01-14 03:47:28,23.75
2018-01-14 04:17:27,23.75
2018-01-14 04:47:28,23.56
2018-01-14 05:17:25,22.93
2018-01-14 05:47:28,22.81
2018-01-14 06:17:28,22.81
