Fecha:,Velocidad del viento (Km/h)
2018-01-12 00:17:28,0
2018-01-12 00:47:28,0
2018-01-12 01:17:27,0
2018-01-12 01:47:27,0
2018-01-12 02:17:28,0
2018-01-12 02:47:27,0
2018-01-12 03:17:24,2.208588957
2018-01-12 03:47:26,1.438561439
2018-01-12 04:17:25,1.330868762
2018-01-12 04:47:29,3.54679803
2018-01-12 05:17:29,1.28113879
2018-01-12 05:47:30,0
2018-01-12 06:17:33,0
2018-01-12 06:47:30,0
2018-01-12 07:17:30,0
2018-01-12 07:47:27,0
2018-01-12 08:17:25,1.912350598
2018-01-12 08:47:35,0
2018-01-12 09:17:28,0
2018-01-12 09:47:24,2.267716535
2018-01-12 10:17:28,0
2018-01-12 10:47:25,3.070362473
2018-01-12 11:17:24,3.799472296
2018-01-12 11:47:25,1.047272727
2018-01-12 12:17:25,3.75
2018-01-12 12:47:31,0
2018-01-12 13:17:25,1.568627451
2018-01-12 13:47:26,2.594594595
2018-01-12 14:17:28,3.609022556
2018-01-12 14:47:26,5.475285171
2018-01-12 15:17:30,2.661737523
2018-01-12 15:47:27,2.474226804
2018-01-12 16:17:26,1.495327103
2018-01-12 16:47:31,3.759791123
2018-01-12 17:17:27,0
2018-01-12 17:47:29,0
2018-01-12 18:17:28,0
2018-01-12 18:47:28,0
2018-01-12 19:17:27,2.95687885
2018-01-12 19:47:29,0
2018-01-12 20:17:29,0
2018-01-12 20:47:32,0
2018-01-12 21:17:29,0
2018-01-12 21:47:26,0
2018-01-12 22:17:25,1.32718894
2018-01-12 22:47:30,0
2018-01-12 23:17:26,3.192904656
2018-01-12 23:47:29,0
2018-01-13 00:17:27,0
2018-01-13 00:47:27,0
2018-01-13 01:17:27,0
2018-01-13 01:47:24,1.089258699
2018-01-13 02:17:28,0
2018-01-13 02:47:27,0
2018-01-13 03:17:30,5.691699605
2018-01-13 03:47:28,0
2018-01-13 04:17:27,0
2018-01-13 04:47:27,0
2018-01-13 05:17:28,0
2018-01-13 05:47:28,0
2018-01-13 06:17:29,0
2018-01-13 06:47:31,0
2018-01-13 07:17:30,0
2018-01-13 07:47:30,0
2018-01-13 08:17:27,1.377990431
2018-01-13 08:47:27,1.239242685
2018-01-13 09:17:27,1.461928934
2018-01-13 09:47:27,0
2018-01-13 10:17:26,1.773399015
2018-01-13 10:47:25,1.332099907
2018-01-13 11:17:27,2.818003914
2018-01-13 11:47:26,1.296129613
2018-01-13 12:17:24,1.483007209
2018-01-13 12:47:25,1.282279608
2018-01-13 13:17:29,0
2018-01-13 13:47:29,0
2018-01-13 14:17:26,1.350844278
2018-01-13 14:47:26,4.615384615
2018-01-13 15:17:25,5.737051793
2018-01-13 15:47:25,3.388235294
2018-01-13 16:17:31,0
2018-01-13 16:47:31,1.616161616
2018-01-13 17:17:31,0
2018-01-13 17:47:25,1.594684385
2018-01-13 18:17:29,0
2018-01-13 18:47:29,0
2018-01-13 19:17:28,0
2018-01-13 19:47:30,0
2018-01-13 20:17:29,0
2018-01-13 20:47:29,0
2018-01-13 21:17:28,0
2018-01-13 21:47:29,0
2018-01-13 22:17:29,0
2018-01-13 22:47:25,4.26035503
2018-01-13 23:17:29,0
