Fecha:,Luz (lux)
2018-05-04 00:07:38,1
2018-05-04 00:37:39,1
2018-05-04 01:07:38,1
2018-05-04 01:37:38,1
2018-05-04 02:07:38,1
2018-05-04 02:37:39,1
2018-05-04 03:07:39,1
2018-05-04 03:37:44,1
2018-05-04 04:07:36,1
2018-05-04 04:37:43,1
2018-05-04 05:07:38,1
2018-05-04 05:37:40,15
2018-05-04 06:07:37,996
2018-05-04 06:37:37,5816
2018-05-04 07:07:40,8242
2018-05-04 07:37:39,8917
2018-05-04 08:07:38,27756
2018-05-04 08:37:35,26536
2018-05-04 09:07:39,21674
2018-05-04 09:37:39,27756
2018-05-04 10:07:36,28387
2018-05-04 10:37:39,34366
2018-05-04 11:07:36,37601
2018-05-04 11:37:36,37180
2018-05-04 12:07:34,46035
2018-05-04 12:37:45,34755
2018-05-04 13:07:34,43518
2018-05-04 13:37:37,39775
2018-05-04 14:07:34,44508
2018-05-04 14:37:38,49247
2018-05-04 15:07:37,23186
2018-05-04 15:37:34,17703
2018-05-04 16:07:43,8621
2018-05-04 16:37:38,8524
2018-05-04 17:07:35,5198
2018-05-04 17:37:35,1786
2018-05-04 18:07:42,154
2018-05-04 18:37:41,2
2018-05-04 19:07:39,1
2018-05-04 19:37:40,1
2018-05-04 20:07:39,1
2018-05-04 20:37:38,1
2018-05-04 21:07:39,1
2018-05-04 21:37:38,1
2018-05-04 22:07:38,1
2018-05-04 22:37:38,1
2018-05-04 23:07:38,1
2018-05-04 23:37:41,1
2018-05-05 00:07:37,1
2018-05-05 00:37:38,1
2018-05-05 01:07:39,1
2018-05-05 01:37:39,1
2018-05-05 02:07:39,1
2018-05-05 02:37:36,1
2018-05-05 03:07:37,1
2018-05-05 03:37:37,1
2018-05-05 04:07:40,1
2018-05-05 04:37:38,1
2018-05-05 05:07:38,1
2018-05-05 05:37:38,22
2018-05-05 06:07:38,1786
2018-05-05 06:37:40,6084
2018-05-05 07:07:43,9647
2018-05-05 07:37:40,15644
2018-05-05 08:07:46,19810
2018-05-05 08:37:36,21919
2018-05-05 09:07:39,31410
2018-05-05 09:37:37,30368
2018-05-05 10:07:42,23714
2018-05-05 10:37:39,30368
2018-05-05 11:07:34,37180
2018-05-05 11:37:40,25085
2018-05-05 12:07:38,9327
2018-05-05 12:37:42,21919
2018-05-05 13:07:35,18938
2018-05-05 13:37:35,21674
2018-05-05 14:07:39,17309
2018-05-05 14:37:35,12079
2018-05-05 15:07:42,9432
2018-05-05 15:37:45,10554
2018-05-05 16:07:35,10554
2018-05-05 16:37:42,7283
2018-05-05 17:07:40,5316
2018-05-05 17:37:41,2503
2018-05-05 18:07:41,414
2018-05-05 18:37:38,2
2018-05-05 19:07:36,1
2018-05-05 19:37:38,1
2018-05-05 20:07:34,1
2018-05-05 20:37:38,1
2018-05-05 21:07:41,1
2018-05-05 21:37:43,1
2018-05-05 22:07:42,1
