Fecha:,Velocidad del viento (Km/h)
2018-05-04 00:07:38,0
2018-05-04 00:37:39,0
2018-05-04 01:07:38,0
2018-05-04 01:37:38,0
2018-05-04 02:07:38,0
2018-05-04 02:37:39,0
2018-05-04 03:07:39,0
2018-05-04 03:37:44,0
2018-05-04 04:07:36,0
2018-05-04 04:37:43,0
2018-05-04 05:07:38,0
2018-05-04 05:37:40,0
2018-05-04 06:07:37,0
2018-05-04 06:37:37,0
2018-05-04 07:07:40,0
2018-05-04 07:37:39,0
2018-05-04 08:07:38,1.410381978
2018-05-04 08:37:35,1.786600496
2018-05-04 09:07:39,0
2018-05-04 09:37:39,0
2018-05-04 10:07:36,4.721311475
2018-05-04 10:37:39,1.111969112
2018-05-04 11:07:36,0
2018-05-04 11:37:36,2.608695652
2018-05-04 12:07:34,1.540106952
2018-05-04 12:37:45,0
2018-05-04 13:07:34,2.530755712
2018-05-04 13:37:37,0
2018-05-04 14:07:34,3.356643357
2018-05-04 14:37:38,0
2018-05-04 15:07:37,1.451612903
2018-05-04 15:37:34,1.339534884
2018-05-04 16:07:43,1.226575809
2018-05-04 16:37:38,1.206030151
2018-05-04 17:07:34,4.04494382
2018-05-04 17:37:35,4.235294118
2018-05-04 18:07:42,0
2018-05-04 18:37:41,0
2018-05-04 19:07:39,0
2018-05-04 19:37:40,0
2018-05-04 20:07:39,0
2018-05-04 20:37:38,0
2018-05-04 21:07:39,0
2018-05-04 21:37:38,0
2018-05-04 22:07:38,0
2018-05-04 22:37:38,1.22971819
2018-05-04 23:07:38,0
2018-05-04 23:37:41,0
2018-05-05 00:07:37,0
2018-05-05 00:37:38,0
2018-05-05 01:07:39,0
2018-05-05 01:37:39,0
2018-05-05 02:07:39,0
2018-05-05 02:37:36,0
2018-05-05 03:07:37,0
2018-05-05 03:37:37,0
2018-05-05 04:07:40,0
2018-05-05 04:37:38,0
2018-05-05 05:07:38,0
2018-05-05 05:37:38,0
2018-05-05 06:07:38,0
2018-05-05 06:37:40,0
2018-05-05 07:07:43,0
2018-05-05 07:37:40,0
2018-05-05 08:07:46,0
2018-05-05 08:37:36,3.031578947
2018-05-05 09:07:39,1.986206897
2018-05-05 09:37:37,1.391304348
2018-05-05 10:07:42,1.951219512
2018-05-05 10:37:39,1.371428571
2018-05-05 11:07:34,3.977900552
2018-05-05 11:37:40,1.242450388
2018-05-05 12:07:38,0
2018-05-05 12:37:42,0
2018-05-05 13:07:35,1.724550898
2018-05-05 13:37:35,1.592920354
2018-05-05 14:07:39,0
